,car_name,brand,year_of_manufacture,kms_driven,fuel_type,transmission_type,emi,price,car_age_years,city
0,Maruti Swift,Maruti,2018,37239,Petrol,Manual,6708,380000.0,8,ChandigarhTricity
1,Ford New Figo,Ford,2017,69729,Diesel,Manual,7127,320000.0,9,ChandigarhTricity
2,Maruti New Wagon-R,Maruti,2021,80358,Petrol,Manual,5155,292000.0,5,ChandigarhTricity
3,Maruti Swift,Maruti,2014,82636,Petrol,Manual,9603,289000.0,12,ChandigarhTricity
4,Tata NEXON,Tata,2023,34045,Petrol,Auto,13593,770000.0,3,ChandigarhTricity
5,Hyundai Creta,Hyundai,2020,58329,Petrol,Auto,21917,1280000.0,6,ChandigarhTricity
6,Ford New Figo,Ford,2020,63510,Diesel,Manual,7185,407000.0,6,ChandigarhTricity
7,Ford FREESTYLE,Ford,2021,85909,Diesel,Manual,9356,530000.0,5,ChandigarhTricity
8,Honda WR-V,Honda,2022,37677,Petrol,Manual,9515,539000.0,4,ChandigarhTricity
9,Tata ALTROZ,Tata,2023,14383,Petrol,Auto,12357,700000.0,3,ChandigarhTricity
10,Hyundai i10,Hyundai,2016,63095,Petrol,Manual,4293,193000.0,10,ChandigarhTricity
11,KIA SONET,KIA,2022,65766,Petrol,Manual,13116,743000.0,4,ChandigarhTricity
12,Maruti Swift Dzire,Maruti,2014,89040,Petrol,Manual,6975,210000.0,12,ChandigarhTricity
13,Mahindra XUV500,Mahindra,2016,80290,Diesel,Manual,10534,400000.0,10,ChandigarhTricity
14,Hyundai VENUE,Hyundai,2021,37303,Petrol,Manual,12966,734000.0,5,ChandigarhTricity
15,Maruti BREZZA,Maruti,2022,30104,Petrol,Auto,16609,969999.9999999999,4,ChandigarhTricity
16,Maruti Alto,Maruti,2021,8685,Petrol,Manual,5472,310000.0,5,ChandigarhTricity
17,Hyundai Grand i10,Hyundai,2017,48174,Petrol,Manual,5767,295000.0,9,ChandigarhTricity
18,Honda City,Honda,2022,47008,Petrol,Auto,16866,985000.0,4,ChandigarhTricity
19,Datsun Redi Go,Datsun,2019,36748,Petrol,Manual,3195,181000.0,7,ChandigarhTricity
20,Tata Tiago,Tata,2017,55831,Petrol,Manual,5103,261000.0,9,ChandigarhTricity
21,Honda City,Honda,2019,81563,Petrol,Manual,9850,558000.0,7,ChandigarhTricity
22,Tata NEXON,Tata,2022,12001,Petrol,Auto,13469,763000.0,4,ChandigarhTricity
23,Tata Tiago,Tata,2021,49311,Petrol,Auto,7132,404000.0,5,ChandigarhTricity
24,Honda Brio,Honda,2014,67353,Petrol,Manual,5979,180000.0,12,ChandigarhTricity
25,Jeep Compass,Jeep,2018,55190,Petrol,Auto,12886,730000.0,8,ChandigarhTricity
26,Tata PUNCH,Tata,2022,27473,Petrol,Manual,7573,429000.0,4,ChandigarhTricity
27,Hyundai GRAND I10 NIOS,Hyundai,2022,23578,Petrol,Manual,7940,450000.0,4,ChandigarhTricity
28,Jeep Compass,Jeep,2020,40079,Petrol,Auto,16523,965000.0,6,ChandigarhTricity
29,Maruti IGNIS,Maruti,2019,16947,Petrol,Auto,7061,400000.0,7,ChandigarhTricity
30,Hyundai Xcent,Hyundai,2018,55716,Petrol,Manual,6055,343000.0,8,ChandigarhTricity
31,Mahindra XUV300,Mahindra,2021,94572,Diesel,Auto,9868,559000.0,5,ChandigarhTricity
32,Honda City,Honda,2018,48985,Diesel,Manual,9580,490000.00000000006,8,ChandigarhTricity
33,Datsun Go,Datsun,2015,68875,Petrol,Manual,4213,160000.0,11,ChandigarhTricity
34,Tata NEXON,Tata,2022,35790,CNG,Manual,9886,560000.0,4,ChandigarhTricity
35,Maruti Swift,Maruti,2017,41239,Petrol,Manual,7035,360000.0,9,ChandigarhTricity
36,Hyundai Grand i10,Hyundai,2018,42162,Petrol,Manual,5878,333000.0,8,ChandigarhTricity
37,Skoda SLAVIA,Skoda,2022,34754,Petrol,Manual,14987,875000.0,4,ChandigarhTricity
38,Tata NEXON,Tata,2018,70648,Diesel,Manual,7507,384000.0,8,ChandigarhTricity
39,MG HECTOR,MG,2020,48182,Petrol,Auto,19235,1123000.0,6,ChandigarhTricity
40,Tata NEXON,Tata,2022,53077,Diesel,Manual,11774,667000.0,4,ChandigarhTricity
41,Maruti Alto K10,Maruti,2018,36954,Petrol,Manual,4660,264000.0,8,ChandigarhTricity
42,Maruti Swift Dzire,Maruti,2017,79717,Diesel,Manual,7541,339000.0,9,ChandigarhTricity
43,Maruti FRONX,Maruti,2023,23534,Petrol,Auto,12354,700000.0,3,ChandigarhTricity
44,Maruti Alto,Maruti,2021,31774,Petrol,Manual,4943,280000.0,5,ChandigarhTricity
45,KIA CARENS,KIA,2023,22338,Petrol,Manual,14194,828999.9999999999,3,ChandigarhTricity
46,Maruti Ciaz,Maruti,2021,92897,Petrol,Manual,10733,608000.0,5,ChandigarhTricity
47,Maruti S Cross,Maruti,2015,91451,Diesel,Manual,9732,293000.0,11,ChandigarhTricity
