,car_name,brand,year_of_manufacture,kms_driven,fuel_type,transmission_type,emi,price,car_age_years,city
0,Maruti Celerio,Maruti,2017,106997,Petrol,Auto,6675,300000.0,9,Ahmedabad
1,Maruti Celerio,Maruti,2016,44746,Petrol,Auto,6577,296000.0,10,Ahmedabad
2,Hyundai i10,Hyundai,2014,40603,Petrol,Manual,7413,223000.0,12,Ahmedabad
3,Maruti Wagon R 1.0,Maruti,2015,46956,Petrol,Manual,7376,280000.0,11,Ahmedabad
4,Maruti Ciaz,Maruti,2018,66130,CNG,Manual,15023,675000.0,8,Ahmedabad
5,Hyundai Grand i10,Hyundai,2014,90776,Petrol,Manual,8292,250000.0,12,Ahmedabad
6,Tata TIGOR,Tata,2020,89732,Petrol,Manual,6443,365000.0,6,Ahmedabad
7,Maruti Baleno,Maruti,2016,77090,Petrol,Manual,6789,305000.0,10,Ahmedabad
8,Hyundai Grand i10,Hyundai,2016,81411,CNG,Auto,10961,330000.0,10,Ahmedabad
9,Honda Jazz,Honda,2015,74952,Petrol,Manual,8743,332000.0,11,Ahmedabad
10,Renault Duster,Renault,2018,77522,Petrol,Manual,7414,420000.0,8,Ahmedabad
11,Honda Jazz,Honda,2016,66433,Petrol,Manual,6678,300000.0,10,Ahmedabad
12,Hyundai Grand i10,Hyundai,2017,69767,Petrol,Manual,6577,336000.0,9,Ahmedabad
13,Maruti Alto 800,Maruti,2013,53831,Petrol,Manual,7802,166000.0,13,Ahmedabad
14,Maruti Swift,Maruti,2016,117732,Petrol,Manual,7369,331000.0,10,Ahmedabad
15,Hyundai i20,Hyundai,2013,55859,Petrol,Manual,10931,231999.99999999997,13,Ahmedabad
16,Maruti Swift,Maruti,2016,79967,Petrol,Manual,7326,329000.0,10,Ahmedabad
17,KIA SELTOS,KIA,2020,70565,Petrol,Manual,14417,842000.0,6,Ahmedabad
18,Skoda Octavia,Skoda,2018,147902,Diesel,Auto,21183,974000.0,8,Ahmedabad
19,Hyundai i10,Hyundai,2012,105771,CNG,Manual,21183,158000.0,14,Ahmedabad
20,Renault Kwid,Renault,2018,91230,Petrol,Manual,3828,217000.0,8,Ahmedabad
21,Tata ALTROZ,Tata,2022,29288,CNG,Auto,11033,625000.0,4,Ahmedabad
22,Datsun Redi Go,Datsun,2017,82983,Petrol,Manual,2603,133000.0,9,Ahmedabad
23,Hyundai Elite i20,Hyundai,2018,95311,Petrol,Manual,6471,367000.0,8,Ahmedabad
24,MG ASTOR,MG,2023,48083,Petrol,Manual,12302,697000.0,3,Ahmedabad
25,Tata ALTROZ,Tata,2023,22499,Petrol,Manual,11072,627000.0,3,Ahmedabad
26,Ford FREESTYLE,Ford,2020,44725,Petrol,Manual,7562,428000.0,6,Ahmedabad
27,Honda WR-V,Honda,2017,79377,Petrol,Manual,7870,403000.0,9,Ahmedabad
28,Hyundai i10,Hyundai,2015,61002,Petrol,Manual,5702,217000.0,11,Ahmedabad
29,Hyundai Grand i10,Hyundai,2018,68907,Petrol,Manual,7075,401000.0,8,Ahmedabad
30,Hyundai Eon,Hyundai,2018,131159,CNG,Manual,4826,217000.0,8,Ahmedabad
31,Tata NEXON,Tata,2018,93655,Petrol,Manual,7149,405000.0,8,Ahmedabad
32,Tata TIAGO NRG,Tata,2022,52438,Petrol,Manual,7729,438000.0,4,Ahmedabad
33,Hyundai Grand i10,Hyundai,2017,136006,Petrol,Manual,7452,335000.0,9,Ahmedabad
34,Hyundai Tucson,Hyundai,2021,83796,Petrol,Auto,18408,1075000.0,5,Ahmedabad
35,Honda City,Honda,2019,59091,Petrol,Manual,10415,590000.0,7,Ahmedabad
