,car_name,brand,year_of_manufacture,kms_driven,fuel_type,transmission_type,emi,price,car_age_years,city
0,Honda Jazz,Honda,2018,47411,Petrol,Auto,11474,650000.0,8,Bangalore
1,Maruti Vitara Brezza,Maruti,2018,55196,Diesel,Auto,15249,780000.0,8,Bangalore
2,Ford Figo Aspire,Ford,2017,42174,Petrol,Manual,7656,392000.0,9,Bangalore
3,Hyundai Creta,Hyundai,2024,8823,Petrol,Auto,30820,1800000.0,2,Bangalore
4,Renault Kwid,Renault,2017,49297,Petrol,Auto,5762,295000.0,9,Bangalore
5,Honda City,Honda,2017,43945,Petrol,Manual,10296,527000.0,9,Bangalore
6,Mahindra BOLERO NEO,Mahindra,2021,14978,Diesel,Manual,13930,814000.0,5,Bangalore
7,Maruti Ciaz,Maruti,2016,52851,Petrol,Manual,10136,455999.99999999994,10,Bangalore
8,Skoda Rapid,Skoda,2013,102515,Diesel,Manual,33590,378000.0,13,Bangalore
9,Hyundai Verna,Hyundai,2012,100626,Petrol,Manual,29764,335000.0,14,Bangalore
10,Hyundai Verna,Hyundai,2017,79333,Petrol,Manual,12156,622000.0,9,Bangalore
11,Chevrolet Aveo,Chevrolet,2012,37826,Petrol,Manual,16082,181000.0,14,Bangalore
12,Honda Jazz,Honda,2017,91101,Petrol,Manual,8424,430999.99999999994,9,Bangalore
13,Hyundai Grand i10,Hyundai,2019,52431,Petrol,Auto,8547,484000.0,7,Bangalore
14,Honda City,Honda,2018,74431,Petrol,Manual,11651,660000.0,8,Bangalore
15,Maruti Celerio X,Maruti,2019,33537,Petrol,Auto,7669,434000.0,7,Bangalore
16,KIA SELTOS,KIA,2019,87807,Diesel,Auto,16423,959000.0,7,Bangalore
17,Chevrolet Sail,Chevrolet,2016,47752,Petrol,Manual,6252,281000.0,10,Bangalore
18,Toyota Etios Liva,Toyota,2012,96531,Petrol,Manual,25715,289000.0,14,Bangalore
19,Honda Amaze,Honda,2018,29472,Diesel,Manual,12121,620000.0,8,Bangalore
20,Maruti Wagon R Stingray,Maruti,2014,99934,Petrol,Manual,8976,270000.0,12,Bangalore
21,Maruti IGNIS,Maruti,2019,34701,Petrol,Auto,8138,461000.00000000006,7,Bangalore
22,Hyundai Creta,Hyundai,2016,41701,Petrol,Manual,16928,761000.0,10,Bangalore
23,Hyundai VENUE,Hyundai,2021,30184,Petrol,Manual,13734,778000.0,5,Bangalore
24,Maruti Dzire,Maruti,2018,32548,Petrol,Auto,10002,567000.0,8,Bangalore
25,Hyundai Grand i10,Hyundai,2015,66688,Petrol,Manual,8954,340000.0,11,Bangalore
26,Hyundai i20 Active,Hyundai,2016,91318,Petrol,Manual,9943,447000.0,10,Bangalore
27,KIA SONET,KIA,2022,46589,Diesel,Auto,21403,1250000.0,4,Bangalore
28,Maruti Swift,Maruti,2019,33840,Petrol,Auto,11184,634000.0,7,Bangalore
