,car_name,brand,year_of_manufacture,kms_driven,fuel_type,transmission_type,emi,price,car_age_years,city
0,Renault Kwid,Renault,2016,77314,Petrol,Manual,5558,250000.0,10,Chennai
1,Maruti Alto 800,Maruti,2012,60998,Petrol,Manual,15774,178000.0,14,Chennai
2,Renault Kwid,Renault,2016,48002,Petrol,Manual,4449,200000.0,10,Chennai
3,Hyundai i20,Hyundai,2013,103608,Petrol,Manual,13257,282000.0,13,Chennai
4,Maruti Swift,Maruti,2017,99975,Diesel,Manual,10865,488000.0,9,Chennai
5,Hyundai VENUE,Hyundai,2021,49149,Petrol,Manual,13257,751000.0,5,Chennai
6,Maruti Baleno,Maruti,2016,104538,Petrol,Manual,9535,429000.0,10,Chennai
7,Ford Figo Aspire,Ford,2017,32188,Petrol,Manual,6491,332000.0,9,Chennai
8,Honda Amaze,Honda,2015,82922,Petrol,Manual,9087,345000.0,11,Chennai
9,Renault Kiger,Renault,2021,69308,Petrol,Auto,8650,490000.00000000006,5,Chennai
10,Maruti Dzire,Maruti,2017,57715,Petrol,Auto,10174,520000.0,9,Chennai
11,Tata NEXON,Tata,2021,48804,Petrol,Manual,10926,619000.0,5,Chennai
12,Hyundai i10,Hyundai,2016,57449,Petrol,Manual,6010,270000.0,10,Chennai
13,Hyundai GRAND I10 NIOS,Hyundai,2022,32832,Petrol,Manual,9585,543000.0,4,Chennai
14,KIA SONET,KIA,2024,33565,Petrol,Manual,16352,955000.0000000001,2,Chennai
15,Tata PUNCH,Tata,2024,39304,CNG,Manual,13416,760000.0,2,Chennai
16,Nissan MAGNITE,Nissan,2022,41962,Petrol,Auto,11298,640000.0,4,Chennai
17,Hyundai Grand i10,Hyundai,2017,79381,Petrol,Manual,6946,355000.0,9,Chennai
18,Hyundai VENUE,Hyundai,2019,71061,Petrol,Auto,11104,629000.0,7,Chennai
19,Hyundai Creta,Hyundai,2021,75777,Petrol,Manual,13363,757000.0,5,Chennai
20,Maruti Wagon R 1.0,Maruti,2017,88391,Petrol,Manual,5455,279000.0,9,Chennai
21,Hyundai Grand i10,Hyundai,2016,87759,Petrol,Auto,7852,353000.0,10,Chennai
22,Maruti Wagon R 1.0,Maruti,2014,88365,Petrol,Manual,9862,297000.0,12,Chennai
23,Hyundai Creta,Hyundai,2016,31439,Petrol,Manual,11672,525000.0,10,Chennai
24,Tata TIGOR,Tata,2018,62198,Petrol,Manual,6637,376000.0,8,Chennai
25,Hyundai i10,Hyundai,2013,95448,Petrol,Manual,7814,166000.0,13,Chennai
26,Honda Jazz,Honda,2016,63777,Petrol,Auto,9209,413999.99999999994,10,Chennai
27,Renault Kwid,Renault,2018,57949,Petrol,Manual,4413,250000.0,8,Chennai
28,Hyundai i20 Active,Hyundai,2017,60535,Petrol,Manual,8006,409000.0,9,Chennai
29,Hyundai Grand i10,Hyundai,2017,80082,Petrol,Auto,6569,336000.0,9,Chennai
30,Hyundai Elite i20,Hyundai,2018,115598,Petrol,Manual,6829,307000.0,8,Chennai
31,Hyundai Verna,Hyundai,2021,79716,Diesel,Manual,14931,872000.0000000001,5,Chennai
32,Hyundai Grand i10,Hyundai,2016,144697,Petrol,Auto,7341,330000.0,10,Chennai
33,Datsun Go,Datsun,2014,24712,Petrol,Manual,5082,153000.0,12,Chennai
34,Volkswagen Polo,Volkswagen,2016,97298,Petrol,Manual,8164,367000.0,10,Chennai
35,Renault Kwid,Renault,2019,40122,Petrol,Manual,4660,264000.0,7,Chennai
36,Maruti Alto 800,Maruti,2015,99324,Petrol,Manual,3713,141000.0,11,Chennai
37,Hyundai i20,Hyundai,2013,38799,Petrol,Manual,13499,287000.0,13,Chennai
38,Maruti Dzire,Maruti,2018,52869,Petrol,Auto,8191,463999.99999999994,8,Chennai
39,Volkswagen TAIGUN,Volkswagen,2022,93697,Petrol,Manual,11121,630000.0,4,Chennai
40,Honda Amaze,Honda,2017,79704,Petrol,Manual,6295,322000.0,9,Chennai
41,Datsun Redi Go,Datsun,2018,76264,Petrol,Manual,3213,182000.0,8,Chennai
42,Ford Ecosport,Ford,2013,139659,Diesel,Manual,25233,284000.0,13,Chennai
43,Maruti Celerio,Maruti,2015,91909,Petrol,Auto,8315,316000.0,11,Chennai
44,Nissan MAGNITE,Nissan,2024,15857,Petrol,Auto,10415,590000.0,2,Chennai
45,Ford Ecosport,Ford,2017,123543,Diesel,Manual,10255,461000.00000000006,9,Chennai
