,car_name,brand,year_of_manufacture,kms_driven,fuel_type,transmission_type,emi,price,car_age_years,city
0,Maruti S Cross,Maruti,2017,63631,Diesel,Manual,13866,623000.0,9,Coimbatore
1,Maruti Alto K10,Maruti,2013,41838,Petrol,Manual,9594,204000.0,13,Coimbatore
2,Ford Ecosport,Ford,2017,130893,Diesel,Manual,12019,540000.0,9,Coimbatore
3,Skoda Kylaq,Skoda,2025,4742,Petrol,Manual,22088,1290000.0,1,Coimbatore
4,Maruti S Cross,Maruti,2019,74031,Diesel,Manual,13189,747000.0,7,Coimbatore
5,Ford Ecosport,Ford,2015,97618,Petrol,Auto,10929,415000.00000000006,11,Coimbatore
6,Maruti Celerio,Maruti,2018,79592,Petrol,Manual,6195,351000.0,8,Coimbatore
7,Tata NEXON,Tata,2023,9627,Petrol,Manual,15650,914000.0,3,Coimbatore
8,KIA SONET,KIA,2023,17250,Diesel,Manual,20170,1178000.0,3,Coimbatore
9,Nissan MAGNITE,Nissan,2024,18365,Petrol,Manual,10747,609000.0,2,Coimbatore
10,Tata NEXON,Tata,2020,92809,Petrol,Manual,9585,543000.0,6,Coimbatore
11,Maruti Alto 800,Maruti,2012,139471,Petrol,Manual,14749,166000.0,14,Coimbatore
12,Maruti Dzire,Maruti,2020,61072,Petrol,Manual,8991,509000.0,6,Coimbatore
13,Mahindra Thar,Mahindra,2023,73165,Diesel,Manual,20461,1195000.0,3,Coimbatore
14,Hyundai NEW I20,Hyundai,2023,44264,Petrol,Auto,11937,676000.0,3,Coimbatore
15,Honda Jazz,Honda,2016,97558,Petrol,Manual,8534,384000.0,10,Coimbatore
16,Hyundai Eon,Hyundai,2013,136557,Petrol,Manual,8144,173000.0,13,Coimbatore
17,Datsun Redi Go,Datsun,2016,95733,Petrol,Manual,3715,167000.0,10,Coimbatore
18,Tata ALTROZ,Tata,2023,10521,Diesel,Manual,12207,691000.0,3,Coimbatore
19,Nissan Terrano,Nissan,2015,107555,Diesel,Manual,12123,365000.0,11,Coimbatore
20,KIA SELTOS,KIA,2019,68348,Diesel,Manual,14682,857000.0,7,Coimbatore
21,Renault Kwid,Renault,2023,46846,Petrol,Manual,7202,408000.0,3,Coimbatore
22,Mahindra TUV300,Mahindra,2019,32346,Diesel,Manual,12886,730000.0,7,Coimbatore
23,Renault Duster,Renault,2021,37689,Petrol,Manual,11651,660000.0,5,Coimbatore
24,Tata ALTROZ,Tata,2022,21366,Petrol,Manual,9532,540000.0,4,Coimbatore
25,Hyundai Elite i20,Hyundai,2019,74392,Petrol,Manual,9179,520000.0,7,Coimbatore
26,Hyundai Grand i10,Hyundai,2017,100173,Petrol,Manual,8520,383000.0,9,Coimbatore
27,Ford Ecosport,Ford,2015,107655,Diesel,Manual,12289,370000.0,11,Coimbatore
28,Tata Tiago,Tata,2018,66030,Petrol,Manual,6607,374000.0,8,Coimbatore
29,Maruti Vitara Brezza,Maruti,2018,76776,Diesel,Manual,11769,602000.0,8,Coimbatore
30,Skoda Rapid,Skoda,2019,138056,Petrol,Manual,10232,459999.99999999994,7,Coimbatore
31,Volkswagen Polo,Volkswagen,2018,111234,Petrol,Manual,10900,490000.00000000006,8,Coimbatore
32,Skoda Rapid,Skoda,2013,82139,CNG,Auto,10900,250000.0,13,Coimbatore
33,Tata NEXON,Tata,2019,57299,Petrol,Manual,10521,596000.0,7,Coimbatore
34,Volkswagen Vento,Volkswagen,2016,121165,Petrol,Auto,9320,419000.00000000006,10,Coimbatore
35,Hyundai Elite i20,Hyundai,2017,54520,Petrol,Manual,9971,509999.99999999994,9,Coimbatore
36,Maruti Celerio,Maruti,2014,67538,Petrol,Auto,10961,330000.0,12,Coimbatore
37,Skoda Rapid,Skoda,2017,87437,Diesel,Auto,13636,613000.0,9,Coimbatore
38,MG HECTOR,MG,2021,44283,Diesel,Manual,22242,1299000.0,5,Coimbatore
39,Renault Pulse,Renault,2012,143892,Diesel,Manual,22242,229000.0,14,Coimbatore
40,Tata NEXON,Tata,2023,35110,Petrol,Manual,12646,716000.0,3,Coimbatore
41,Maruti Wagon R 1.0,Maruti,2014,61995,Petrol,Manual,9668,291000.0,12,Coimbatore
42,Maruti Baleno,Maruti,2017,88808,Petrol,Manual,9071,463999.99999999994,9,Coimbatore
43,Hyundai Eon,Hyundai,2014,82587,Petrol,Manual,6875,206999.99999999997,12,Coimbatore
44,Tata PUNCH,Tata,2022,34059,Petrol,Manual,9709,550000.0,4,Coimbatore
45,Renault Kwid,Renault,2018,78763,Petrol,Manual,4907,278000.0,8,Coimbatore
46,Ford Figo,Ford,2012,142840,Petrol,Manual,12172,137000.0,14,Coimbatore
