,car_name,brand,year_of_manufacture,kms_driven,fuel_type,transmission_type,emi,price,car_age_years,city
0,Maruti New Wagon-R,Maruti,2019,74374,Petrol,Manual,5719,324000.0,7,Delhi NCR
1,Maruti Swift Dzire,Maruti,2014,74621,Petrol,Manual,8757,264000.0,12,Delhi NCR
2,KIA SONET,KIA,2020,90869,Petrol,Manual,10494,594000.0,6,Delhi NCR
3,Renault Kiger,Renault,2024,8350,Petrol,Auto,10446,592000.0,2,Delhi NCR
4,MG ASTOR,MG,2023,48521,Petrol,Auto,15858,926000.0,3,Delhi NCR
5,Mahindra XUV700,Mahindra,2023,25176,Petrol,Manual,22883,1336000.0,3,Delhi NCR
6,Renault Duster,Renault,2021,47541,Petrol,Auto,13409,760000.0,5,Delhi NCR
7,MG HECTOR,MG,2019,52206,Petrol,Auto,17379,1015000.0,7,Delhi NCR
8,MG HECTOR,MG,2023,15809,Petrol,Auto,25512,1490000.0,3,Delhi NCR
9,KIA SELTOS,KIA,2020,16459,Petrol,Manual,16266,950000.0,6,Delhi NCR
10,Toyota Fortuner,Toyota,2020,48819,Diesel,Auto,71075,2750000.0,6,Delhi NCR
11,Renault Kiger,Renault,2022,57927,Petrol,Manual,6532,370000.0,4,Delhi NCR
12,Maruti Vitara Brezza,Maruti,2021,52923,Petrol,Manual,8643,490000.00000000006,5,Delhi NCR
13,Tata Safari,Tata,2021,43449,Diesel,Auto,28265,1300000.0,5,Delhi NCR
14,Volkswagen VIRTUS,Volkswagen,2022,47712,Petrol,Manual,12198,691000.0,4,Delhi NCR
15,Renault Kwid,Renault,2017,75770,Petrol,Manual,3128,160000.0,9,Delhi NCR
16,Maruti Baleno,Maruti,2023,47454,Petrol,Manual,8473,480000.0,3,Delhi NCR
17,Renault Kwid,Renault,2019,63301,Petrol,Manual,3495,198000.0,7,Delhi NCR
18,Maruti Swift,Maruti,2016,48436,Petrol,Manual,5806,261000.0,10,Delhi NCR
19,Nissan MAGNITE,Nissan,2023,60570,Petrol,Manual,6814,386000.0,3,Delhi NCR
20,Mahindra Thar,Mahindra,2022,30690,Petrol,Manual,20119,1175000.0,4,Delhi NCR
21,Maruti Alto 800,Maruti,2017,29630,Petrol,Manual,3548,181000.0,9,Delhi NCR
22,Tata Harrier,Tata,2020,84776,Diesel,Manual,20728,802000.0,6,Delhi NCR
23,Mahindra XUV700,Mahindra,2022,41024,Petrol,Manual,23115,1350000.0,4,Delhi NCR
24,Mahindra Scorpio,Mahindra,2019,35267,Diesel,Manual,28745,877999.9999999999,7,Delhi NCR
25,Toyota Fortuner,Toyota,2023,83352,Diesel,Auto,55477,3240000.0,3,Delhi NCR
26,Toyota Fortuner,Toyota,2018,158439,Diesel,Manual,77276,1657999.9999999998,8,Delhi NCR
27,Hyundai Verna,Hyundai,2019,51996,Petrol,Auto,12304,697000.0,7,Delhi NCR
28,Tata PUNCH,Tata,2023,46004,Petrol,Manual,8543,484000.0,3,Delhi NCR
29,Hyundai Creta,Hyundai,2020,88094,Diesel,Manual,18987,721000.0,6,Delhi NCR
30,Volkswagen Polo,Volkswagen,2021,58213,Petrol,Manual,7997,453000.0,5,Delhi NCR
31,Hyundai Verna,Hyundai,2018,52177,Petrol,Manual,9568,542000.0,8,Delhi NCR
32,KIA SELTOS,KIA,2023,43943,Diesel,Manual,14451,844000.0,3,Delhi NCR
33,Maruti Wagon R 1.0,Maruti,2013,98532,Petrol,Manual,5790,123000.0,13,Delhi NCR
34,Tata Safari,Tata,2021,64038,Diesel,Manual,24786,1140000.0,5,Delhi NCR
35,Hyundai Tucson,Hyundai,2024,14376,Petrol,Auto,43662,2550000.0,2,Delhi NCR
36,BMW 3 Series,BMW,2019,69884,Diesel,Auto,76936,2350000.0,7,Delhi NCR
37,KIA CARNIVAL,KIA,2025,10558,Diesel,Auto,107015,6250000.0,1,Delhi NCR
38,Maruti Baleno,Maruti,2015,53068,Petrol,Manual,6794,258000.0,11,Delhi NCR
39,Mahindra XUV 3XO,Mahindra,2024,14838,Diesel,Auto,14777,863000.0000000001,2,Delhi NCR
40,Maruti Swift,Maruti,2014,61207,Petrol,Manual,6477,195000.0,12,Delhi NCR
41,Tata ALTROZ,Tata,2022,45910,Petrol,Manual,6708,380000.0,4,Delhi NCR
42,Tata NEXON EV,Tata,2024,29329,Electric,Auto,25256,1475000.0,2,Delhi NCR
43,Skoda Kodiaq,Skoda,2023,60781,Petrol,Auto,44518,2600000.0,3,Delhi NCR
44,Mahindra BE 6e,Mahindra,2025,3651,Electric,Auto,41094,2400000.0,1,Delhi NCR
45,Hyundai ALCAZAR,Hyundai,2024,4227,Petrol,Auto,32105,1875000.0,2,Delhi NCR
46,Maruti Swift,Maruti,2019,47053,Petrol,Manual,6620,375000.0,7,Delhi NCR
47,Mahindra XUV700,Mahindra,2024,20913,Diesel,Auto,39382,2300000.0,2,Delhi NCR
48,Honda Amaze,Honda,2021,39068,CNG,Manual,10429,591000.0,5,Delhi NCR
49,Hyundai Verna,Hyundai,2024,31194,Petrol,Manual,17367,1014000.0,2,Delhi NCR
50,Volkswagen Polo,Volkswagen,2020,33751,Petrol,Manual,6814,386000.0,6,Delhi NCR
51,Hyundai EXTER,Hyundai,2024,10309,Petrol,Auto,14982,875000.0,2,Delhi NCR
52,Mahindra XUV300,Mahindra,2020,76769,Petrol,Manual,7523,426000.0,6,Delhi NCR
53,Audi A6,Audi,2021,31259,Petrol,Auto,58216,3400000.0,5,Delhi NCR
54,Maruti Swift,Maruti,2018,64451,Petrol,Manual,6373,361000.0,8,Delhi NCR
55,Mahindra SCORPIO-N,Mahindra,2023,43965,Diesel,Auto,31677,1850000.0,3,Delhi NCR
56,Skoda Superb,Skoda,2021,33492,Petrol,Auto,44518,2600000.0,5,Delhi NCR
57,MG HECTOR PLUS,MG,2024,24606,Petrol,Auto,31677,1850000.0,2,Delhi NCR
58,Honda WR-V,Honda,2021,68250,Diesel,Manual,11278,507000.0,5,Delhi NCR
59,Jeep Compass,Jeep,2019,50367,Petrol,Auto,15410,900000.0,7,Delhi NCR
60,MG GLOSTER,MG,2022,8603,Diesel,Auto,59006,3100000.0,4,Delhi NCR
61,Skoda Superb,Skoda,2017,36581,Petrol,Auto,24268,1275000.0,9,Delhi NCR
62,Datsun Redi Go,Datsun,2020,25838,Petrol,Manual,3283,186000.0,6,Delhi NCR
63,Mahindra SCORPIO-N,Mahindra,2023,79841,Diesel,Manual,29091,1698999.9999999998,3,Delhi NCR
64,Tata NEXON,Tata,2018,72470,Petrol,Manual,5825,330000.0,8,Delhi NCR
65,Hyundai VENUE,Hyundai,2022,78722,Petrol,Manual,10367,587000.0,4,Delhi NCR
66,Mercedes Benz GLC CLASS,Mercedes,2021,27513,Petrol,Auto,67634,3950000.0,5,Delhi NCR
67,Hyundai Tucson,Hyundai,2023,19023,Diesel,Auto,45374,2650000.0,3,Delhi NCR
68,Hyundai Tucson,Hyundai,2022,17916,Petrol,Auto,40238,2350000.0,4,Delhi NCR
69,Honda Amaze,Honda,2022,44853,Petrol,Manual,7767,440000.00000000006,4,Delhi NCR
70,Volkswagen Polo,Volkswagen,2019,39462,Petrol,Auto,9977,565000.0,7,Delhi NCR
71,Renault Kiger,Renault,2022,83215,Petrol,Manual,6390,362000.0,4,Delhi NCR
72,Volkswagen TAIGUN,Volkswagen,2022,62917,Petrol,Manual,11704,663000.0,4,Delhi NCR
73,Honda Amaze,Honda,2019,47426,Petrol,Auto,7079,401000.0,7,Delhi NCR
74,Honda City,Honda,2020,89920,Petrol,Auto,9727,551000.0,6,Delhi NCR
75,Maruti Swift,Maruti,2024,42012,Petrol,Manual,9780,554000.0,2,Delhi NCR
76,BMW X1,BMW,2018,69892,Diesel,Auto,76903,1650000.0,8,Delhi NCR
77,Maruti Celerio,Maruti,2014,92764,Petrol,Manual,4650,140000.0,12,Delhi NCR
78,Honda Civic,Honda,2019,70935,Petrol,Auto,16181,944999.9999999999,7,Delhi NCR
79,Maruti Alto K10,Maruti,2018,67276,Petrol,Manual,3601,204000.0,8,Delhi NCR
80,BMW 3 Series,BMW,2017,29226,Diesel,Auto,172344,1950000.0,9,Delhi NCR
81,ISUZU D-Max V Cross,ISUZU,2022,46876,Diesel,Auto,39020,2050000.0,4,Delhi NCR
82,KIA SONET,KIA,2024,14386,Petrol,Auto,18407,1075000.0,2,Delhi NCR
83,Honda Amaze,Honda,2014,91353,Petrol,Manual,5348,161000.0,12,Delhi NCR
84,Hyundai Elite i20,Hyundai,2017,74204,Petrol,Manual,6354,325000.0,9,Delhi NCR
85,Hyundai Verna,Hyundai,2019,75966,Petrol,Manual,10661,604000.0,7,Delhi NCR
86,Hyundai Verna,Hyundai,2018,24996,Petrol,Manual,8584,486000.00000000006,8,Delhi NCR
87,Ford Ecosport,Ford,2018,26424,Diesel,Manual,23772,505000.0,8,Delhi NCR
88,Ford New Figo,Ford,2021,21674,Petrol,Manual,6916,392000.0,5,Delhi NCR
89,KIA SELTOS,KIA,2019,76363,Petrol,Manual,16640,972000.0000000001,7,Delhi NCR
90,Hyundai NEW I20,Hyundai,2022,19259,Petrol,Manual,9356,530000.0,4,Delhi NCR
91,KIA SONET,KIA,2020,38236,Petrol,Manual,9938,563000.0,6,Delhi NCR
92,Tata Tiago,Tata,2023,30462,Petrol,Manual,6708,380000.0,3,Delhi NCR
93,Audi A3,Audi,2018,24077,Petrol,Auto,27396,1600000.0,8,Delhi NCR
94,KIA SELTOS,KIA,2020,69741,Petrol,Manual,11580,656000.0,6,Delhi NCR
95,Honda WR-V,Honda,2018,37015,Petrol,Manual,6584,373000.0,8,Delhi NCR
96,ISUZU D-Max V Cross,ISUZU,2018,114493,Diesel,Manual,58260,1250000.0,8,Delhi NCR
97,Maruti Ertiga,Maruti,2024,18586,CNG,Manual,15753,919999.9999999999,2,Delhi NCR
98,Skoda KUSHAQ,Skoda,2025,20617,Petrol,Manual,12992,736000.0,1,Delhi NCR
99,Hyundai VENUE,Hyundai,2021,34800,Petrol,Manual,9903,561000.0,5,Delhi NCR
100,Tata ALTROZ,Tata,2021,73822,Diesel,Manual,15122,680000.0,5,Delhi NCR
101,Tata NEXON,Tata,2022,24704,Petrol,Manual,10314,584000.0,4,Delhi NCR
102,Mercedes Benz S Class,Mercedes,2014,54082,Diesel,Auto,10314,2750000.0,12,Delhi NCR
103,Maruti Alto 800,Maruti,2013,17608,Petrol,Manual,5884,125000.0,13,Delhi NCR
104,Mahindra Kuv100,Mahindra,2018,68537,Diesel,Manual,12554,267000.0,8,Delhi NCR
105,Ford Ecosport,Ford,2019,28638,Petrol,Manual,8826,500000.0,7,Delhi NCR
106,Toyota Camry,Toyota,2024,5399,Hybrid,Auto,66778,3900000.0,2,Delhi NCR
107,KIA SELTOS,KIA,2019,36269,Petrol,Manual,13336,755000.0,7,Delhi NCR
108,Maruti Swift,Maruti,2021,30386,Petrol,Manual,9356,530000.0,5,Delhi NCR
109,Toyota Camry,Toyota,2023,15756,Hybrid,Auto,59757,3490000.0,3,Delhi NCR
110,Maruti Swift Dzire,Maruti,2021,57071,CNG,Manual,7750,438999.99999999994,5,Delhi NCR
111,KIA SELTOS,KIA,2022,39349,Diesel,Manual,20238,1063000.0,4,Delhi NCR
112,Hyundai Creta,Hyundai,2017,72611,Petrol,Manual,8307,425000.0,9,Delhi NCR
113,MG HECTOR,MG,2020,66365,Petrol,Auto,13628,772000.0,6,Delhi NCR
114,Maruti Alto K10,Maruti,2017,66405,Petrol,Manual,3793,194000.0,9,Delhi NCR
115,Skoda SLAVIA,Skoda,2022,39259,Petrol,Manual,12904,731000.0,4,Delhi NCR
116,Tata Safari,Tata,2022,66510,Diesel,Manual,18844,990000.0,4,Delhi NCR
117,MG HECTOR,MG,2021,73136,Diesel,Manual,18655,858000.0,5,Delhi NCR
118,Volkswagen Polo,Volkswagen,2016,62351,Petrol,Manual,6028,271000.0,10,Delhi NCR
119,Hyundai Grand i10,Hyundai,2018,94763,Petrol,Manual,4784,271000.0,8,Delhi NCR
120,Maruti Swift,Maruti,2018,59746,Petrol,Auto,7059,400000.0,8,Delhi NCR
121,Maruti Swift,Maruti,2019,36634,Petrol,Auto,8597,487000.0,7,Delhi NCR
122,Ford Ecosport,Ford,2017,83374,Petrol,Manual,7058,361000.0,9,Delhi NCR
123,Nissan MAGNITE,Nissan,2021,33810,Petrol,Manual,7520,426000.0,5,Delhi NCR
124,Hyundai i10,Hyundai,2012,100643,Petrol,Manual,8672,98000.0,14,Delhi NCR
125,Skoda KUSHAQ,Skoda,2022,64116,Petrol,Manual,12904,731000.0,4,Delhi NCR
126,Renault Duster,Renault,2017,85995,Petrol,Auto,7429,380000.0,9,Delhi NCR
127,Ford Ecosport,Ford,2016,72113,Petrol,Manual,6184,278000.0,10,Delhi NCR
128,Maruti Vitara Brezza,Maruti,2022,38066,Petrol,Manual,10495,595000.0,4,Delhi NCR
129,Mahindra XUV700,Mahindra,2024,12231,Petrol,Auto,31248,1825000.0,2,Delhi NCR
130,Maruti Swift,Maruti,2017,29091,Petrol,Manual,5613,287000.0,9,Delhi NCR
131,Maruti Baleno,Maruti,2017,54849,Petrol,Manual,5748,294000.0,9,Delhi NCR
132,Hyundai Creta,Hyundai,2023,37322,Petrol,Manual,17102,999000.0,3,Delhi NCR
133,Maruti Wagon R 1.0,Maruti,2018,57443,Petrol,Manual,3919,222000.00000000003,8,Delhi NCR
134,Hyundai VENUE,Hyundai,2021,53312,Petrol,Manual,9427,534000.0,5,Delhi NCR
135,Ford Ecosport,Ford,2019,59310,Petrol,Manual,8314,471000.0,7,Delhi NCR
136,Honda City,Honda,2020,78966,Petrol,Manual,13769,780000.0,6,Delhi NCR
137,Hyundai Verna,Hyundai,2021,37722,Petrol,Manual,13769,780000.0,5,Delhi NCR
138,Hyundai Verna,Hyundai,2018,25871,Petrol,Manual,10309,584000.0,8,Delhi NCR
139,Maruti Alto,Maruti,2020,6421,Petrol,Manual,4424,250999.99999999997,6,Delhi NCR
140,Maruti Swift,Maruti,2016,57222,Petrol,Manual,6028,271000.0,10,Delhi NCR
141,Hyundai Verna,Hyundai,2014,27848,Petrol,Auto,10874,327000.0,12,Delhi NCR
142,Tata ALTROZ,Tata,2021,42989,Petrol,Manual,6796,385000.0,5,Delhi NCR
143,Hyundai Elite i20,Hyundai,2017,79297,Petrol,Manual,7459,382000.0,9,Delhi NCR
144,Toyota Innova Crysta,Toyota,2018,92199,Petrol,Manual,16720,976000.0,8,Delhi NCR
145,Tata NEXON,Tata,2024,20901,CNG,Manual,13773,780000.0,2,Delhi NCR
146,Volkswagen Vento,Volkswagen,2016,83034,Petrol,Auto,7919,356000.0,10,Delhi NCR
147,Hyundai VENUE,Hyundai,2019,46131,Petrol,Manual,8082,458000.0,7,Delhi NCR
148,Renault Kiger,Renault,2022,25917,Petrol,Manual,8175,463000.0,4,Delhi NCR
149,Honda City,Honda,2022,87931,CNG,Auto,14588,852000.0,4,Delhi NCR
150,Hyundai Eon,Hyundai,2016,53770,Petrol,Manual,3448,155000.0,10,Delhi NCR
151,Hyundai Verna,Hyundai,2018,78038,Petrol,Manual,9356,530000.0,8,Delhi NCR
152,Renault TRIBER,Renault,2021,52312,Petrol,Manual,6660,377000.0,5,Delhi NCR
153,Renault Kwid,Renault,2016,41281,Petrol,Manual,3314,149000.0,10,Delhi NCR
154,MG HECTOR,MG,2019,59525,Petrol,Manual,13840,784000.0,7,Delhi NCR
155,KIA SELTOS,KIA,2019,74448,Petrol,Manual,12304,697000.0,7,Delhi NCR
