,car_name,brand,year_of_manufacture,kms_driven,fuel_type,transmission_type,emi,price,car_age_years,city
0,Renault Kwid,Renault,2017,33082,Petrol,Auto,5181,265000.0,9,Indore
1,Tata NEXON,Tata,2018,108811,Diesel,Manual,12234,550000.0,8,Indore
2,Tata Tiago,Tata,2023,31507,Petrol,Manual,9353,530000.0,3,Indore
3,Honda WR-V,Honda,2018,50427,Petrol,Manual,9628,545000.0,8,Indore
4,Maruti New Wagon-R,Maruti,2021,122230,CNG,Manual,9120,409999.99999999994,5,Indore
5,Ford Figo Aspire,Ford,2018,44944,Petrol,Auto,7414,420000.0,8,Indore
6,Honda Jazz,Honda,2016,62614,Petrol,Manual,7563,340000.0,10,Indore
7,Maruti Ciaz,Maruti,2017,89139,Petrol,Manual,8430,430999.99999999994,9,Indore
8,Hyundai Grand i10,Hyundai,2016,87439,Petrol,Manual,7007,315000.0,10,Indore
9,Honda City,Honda,2016,112545,Petrol,Manual,9565,430000.0,10,Indore
10,Tata ALTROZ,Tata,2020,68542,Petrol,Manual,8209,465000.00000000006,6,Indore
11,Volkswagen Polo,Volkswagen,2021,31674,Petrol,Manual,10768,610000.0,5,Indore
12,Maruti Swift,Maruti,2020,49808,Petrol,Manual,7795,442000.0,6,Indore
13,Renault Kwid,Renault,2020,55015,Petrol,Auto,5415,307000.0,6,Indore
14,Toyota Etios,Toyota,2015,109045,Diesel,Manual,10801,325000.0,11,Indore
15,Renault Kwid,Renault,2022,31728,Petrol,Manual,5447,309000.0,4,Indore
16,Maruti Vitara Brezza,Maruti,2021,33548,Petrol,Manual,12357,700000.0,5,Indore
17,Hyundai Elite i20,Hyundai,2017,43075,Petrol,Manual,6620,339000.0,9,Indore
18,Honda Jazz,Honda,2016,50423,Petrol,Manual,7674,345000.0,10,Indore
19,Honda Jazz,Honda,2016,56400,Petrol,Manual,7452,335000.0,10,Indore
20,Renault Kwid,Renault,2021,62403,Petrol,Manual,4413,250000.0,5,Indore
21,Tata NEXON,Tata,2022,60123,Petrol,Manual,11474,650000.0,4,Indore
22,Ford FREESTYLE,Ford,2018,44783,Petrol,Manual,7767,440000.00000000006,8,Indore
23,Volkswagen Ameo,Volkswagen,2016,56741,Petrol,Manual,6006,270000.0,10,Indore
24,Renault TRIBER,Renault,2020,65134,Petrol,Manual,6209,352000.0,6,Indore
25,Hyundai Grand i10,Hyundai,2016,94743,Petrol,Manual,6006,270000.0,10,Indore
26,Hyundai Verna,Hyundai,2017,140558,Diesel,Manual,12234,550000.0,9,Indore
27,Hyundai NEW SANTRO,Hyundai,2019,37851,Petrol,Manual,4766,270000.0,7,Indore
28,Maruti IGNIS,Maruti,2019,110617,Petrol,Auto,7431,334000.0,7,Indore
29,Volkswagen TAIGUN,Volkswagen,2024,30678,Petrol,Manual,17979,1050000.0,2,Indore
30,Maruti New Wagon-R,Maruti,2021,143837,CNG,Manual,8337,375000.0,5,Indore
31,Maruti Ciaz,Maruti,2018,47167,Petrol,Manual,9003,509999.99999999994,8,Indore
32,Tata TIGOR,Tata,2020,43981,Petrol,Manual,7591,430000.0,6,Indore
33,Maruti Wagon R 1.0,Maruti,2012,84139,Petrol,Manual,15993,180000.0,14,Indore
34,Honda Amaze,Honda,2018,89202,Diesel,Auto,8113,415000.00000000006,8,Indore
35,Maruti Swift,Maruti,2015,79135,Diesel,Manual,10961,330000.0,11,Indore
36,Ford FREESTYLE,Ford,2018,90419,Petrol,Manual,6708,380000.0,8,Indore
