,car_name,brand,year_of_manufacture,kms_driven,fuel_type,transmission_type,emi,price,car_age_years,city
0,Tata TIGOR,Tata,2018,79067,Petrol,Manual,5847,331000.0,8,Jaipur
1,Tata Tiago,Tata,2017,65432,Petrol,Manual,6572,336000.0,9,Jaipur
2,Honda City,Honda,2017,46585,Petrol,Manual,11005,563000.0,9,Jaipur
3,Hyundai Xcent,Hyundai,2017,101762,Petrol,Manual,7674,345000.0,9,Jaipur
4,Maruti S PRESSO,Maruti,2021,76607,Petrol,Manual,5787,328000.0,5,Jaipur
5,Tata Tiago,Tata,2018,51520,Petrol,Manual,6109,346000.0,8,Jaipur
6,Maruti IGNIS,Maruti,2019,84136,Petrol,Auto,7238,409999.99999999994,7,Jaipur
7,Hyundai VENUE,Hyundai,2020,103236,Petrol,Manual,10900,490000.00000000006,6,Jaipur
8,Hyundai Elite i20,Hyundai,2017,93604,Petrol,Manual,8010,409999.99999999994,9,Jaipur
9,Tata TIGOR,Tata,2019,60400,Petrol,Manual,6267,355000.0,7,Jaipur
10,Tata Hexa,Tata,2017,57257,Diesel,Auto,14090,633000.0,9,Jaipur
11,Ford FREESTYLE,Ford,2018,130602,Diesel,Manual,7452,335000.0,8,Jaipur
12,Volkswagen Polo,Volkswagen,2019,103074,Petrol,Auto,11514,518000.0,7,Jaipur
13,Hyundai Grand i10,Hyundai,2020,13254,Petrol,Manual,7238,409999.99999999994,6,Jaipur
14,Renault Kiger,Renault,2022,74623,Petrol,Manual,8563,484999.99999999994,4,Jaipur
15,Mahindra KUV 100 NXT,Mahindra,2018,63047,Petrol,Manual,5208,295000.0,8,Jaipur
16,Hyundai Elite i20,Hyundai,2019,85850,Petrol,Manual,7577,429000.0,7,Jaipur
17,Maruti Alto 800,Maruti,2016,55877,Petrol,Manual,4427,199000.0,10,Jaipur
18,Honda WR-V,Honda,2017,146319,Petrol,Manual,8125,365000.0,9,Jaipur
19,Skoda SLAVIA,Skoda,2022,51064,Petrol,Manual,14642,855000.0000000001,4,Jaipur
20,Mahindra Thar,Mahindra,2021,60890,Diesel,Auto,17037,994999.9999999999,5,Jaipur
21,Volkswagen Polo,Volkswagen,2020,70362,Petrol,Manual,6720,381000.0,6,Jaipur
22,Nissan MAGNITE,Nissan,2024,15036,Petrol,Auto,8826,500000.0,2,Jaipur
23,Nissan MAGNITE,Nissan,2023,27930,Petrol,Manual,8826,500000.0,3,Jaipur
24,Maruti Swift,Maruti,2023,44029,Petrol,Manual,11827,670000.0,3,Jaipur
25,Maruti Baleno,Maruti,2016,53335,Petrol,Auto,7613,342000.0,10,Jaipur
26,Maruti Alto K10,Maruti,2018,61893,Petrol,Manual,4977,282000.0,8,Jaipur
27,Maruti Baleno,Maruti,2017,96493,Petrol,Auto,7722,395000.0,9,Jaipur
28,KIA CARENS,KIA,2024,20724,Petrol,Manual,16181,944999.9999999999,2,Jaipur
29,Hyundai VENUE,Hyundai,2019,78033,Petrol,Auto,10771,610000.0,7,Jaipur
30,Tata TIGOR,Tata,2021,23482,Petrol,Manual,6796,385000.0,5,Jaipur
31,Maruti Alto,Maruti,2021,74768,CNG,Manual,5208,295000.0,5,Jaipur
32,Volkswagen Ameo,Volkswagen,2019,49461,Diesel,Manual,8120,459999.99999999994,7,Jaipur
33,Hyundai AURA,Hyundai,2022,45032,Petrol,Manual,10150,575000.0,4,Jaipur
34,Volkswagen Ameo,Volkswagen,2016,79717,Petrol,Manual,6518,293000.0,10,Jaipur
35,Honda City,Honda,2019,34159,Petrol,Manual,9797,555000.0,7,Jaipur
36,Renault TRIBER,Renault,2022,72311,Petrol,Manual,7497,425000.0,4,Jaipur
37,Maruti Swift,Maruti,2023,19862,Petrol,Auto,10768,610000.0,3,Jaipur
38,Maruti Swift,Maruti,2015,73731,Petrol,Manual,9480,360000.0,11,Jaipur
39,KIA SELTOS,KIA,2021,29800,Petrol,Manual,13857,785000.0,5,Jaipur
40,Hyundai Creta,Hyundai,2016,99170,Petrol,Auto,11790,530000.0,10,Jaipur
41,Maruti Alto K10,Maruti,2025,7736,Petrol,Manual,7591,430000.0,1,Jaipur
42,Hyundai Elite i20,Hyundai,2019,83244,Petrol,Manual,7235,409999.99999999994,7,Jaipur
43,Maruti Dzire,Maruti,2020,127250,CNG,Manual,10789,484999.99999999994,6,Jaipur
44,Nissan Kicks,Nissan,2019,98840,Diesel,Manual,8474,480000.0,7,Jaipur
