,car_name,brand,year_of_manufacture,kms_driven,fuel_type,transmission_type,emi,price,car_age_years,city
0,Maruti Alto 800,Maruti,2018,47656,Petrol,Manual,4565,259000.0,8,Kochi
1,MG HECTOR PLUS,MG,2020,42482,Petrol,Manual,18681,1091000.0,6,Kochi
2,Datsun Redi Go,Datsun,2017,63316,Petrol,Manual,2990,153000.0,9,Kochi
3,Hyundai Grand i10,Hyundai,2016,44448,Petrol,Manual,6678,300000.0,10,Kochi
4,MG HECTOR,MG,2021,90805,Diesel,Manual,17705,1034000.0,5,Kochi
5,Hyundai Grand i10,Hyundai,2016,80233,Petrol,Manual,6206,279000.0,10,Kochi
6,Tata ALTROZ,Tata,2020,72750,Petrol,Manual,6802,385000.0,6,Kochi
7,Renault Kwid,Renault,2021,59337,Petrol,Manual,5384,305000.0,5,Kochi
8,Honda Amaze,Honda,2016,63272,Petrol,Manual,8246,371000.0,10,Kochi
9,Hyundai Xcent,Hyundai,2014,94087,Petrol,Manual,7573,227999.99999999997,12,Kochi
10,Renault Kwid,Renault,2015,108555,Petrol,Manual,3008,113999.99999999999,11,Kochi
11,Hyundai Creta,Hyundai,2017,125870,Petrol,Manual,12457,560000.0,9,Kochi
12,Nissan Micra Active,Nissan,2013,136687,Petrol,Manual,8291,176000.0,13,Kochi
13,Tata Tiago,Tata,2023,8625,Petrol,Manual,7026,398000.0,3,Kochi
14,Hyundai Eon,Hyundai,2015,66389,Petrol,Manual,2897,110000.00000000001,11,Kochi
15,Datsun Redi Go,Datsun,2018,49663,Petrol,Auto,3548,200999.99999999997,8,Kochi
16,Datsun Redi Go,Datsun,2019,64501,Petrol,Manual,2207,125000.0,7,Kochi
17,Maruti Celerio,Maruti,2016,60116,Petrol,Manual,6451,290000.0,10,Kochi
18,Renault Duster,Renault,2014,76863,Diesel,Manual,17935,381000.0,12,Kochi
19,Ford FREESTYLE,Ford,2019,134993,Diesel,Manual,10366,466000.0,7,Kochi
20,Nissan Sunny,Nissan,2013,30075,Petrol,Manual,8803,187000.0,13,Kochi
21,Renault Kwid,Renault,2016,32225,Petrol,Manual,4894,220000.00000000003,10,Kochi
22,Nissan Kicks,Nissan,2020,38663,Petrol,Manual,13240,750000.0,6,Kochi
23,Maruti S PRESSO,Maruti,2021,57016,Petrol,Manual,4678,265000.0,5,Kochi
24,Honda City,Honda,2016,142290,Petrol,Auto,11790,530000.0,10,Kochi
25,Renault Duster,Renault,2013,81336,Diesel,Manual,24167,272000.0,13,Kochi
26,Volkswagen Polo,Volkswagen,2012,128734,Diesel,Manual,24167,191000.0,14,Kochi
27,Ford FREESTYLE,Ford,2019,92867,Petrol,Manual,6902,391000.0,7,Kochi
28,Honda Jazz,Honda,2017,116273,Petrol,Manual,7830,352000.0,9,Kochi
29,Tata Tiago,Tata,2023,29883,Petrol,Manual,8050,455999.99999999994,3,Kochi
30,Renault Kwid,Renault,2017,43552,Petrol,Manual,3734,191000.0,9,Kochi
31,Hyundai VENUE,Hyundai,2020,78987,Petrol,Manual,10080,571000.0,6,Kochi
32,Datsun Redi Go,Datsun,2018,85983,Petrol,Manual,2630,149000.0,8,Kochi
33,Hyundai Xcent,Hyundai,2014,77381,Petrol,Manual,6743,202999.99999999997,12,Kochi
34,Renault Duster,Renault,2021,91138,Petrol,Manual,11492,651000.0,5,Kochi
35,Datsun Redi Go,Datsun,2016,63052,Petrol,Manual,3136,141000.0,10,Kochi
