,car_name,brand,year_of_manufacture,kms_driven,fuel_type,transmission_type,emi,price,car_age_years,city
0,Hyundai GRAND I10 NIOS,Hyundai,2023,9123,Petrol,Auto,9498,538000.0,3,Kolkata
1,Maruti Baleno,Maruti,2019,73830,Petrol,Manual,7576,429000.0,7,Kolkata
2,Maruti Celerio,Maruti,2021,22976,Petrol,Manual,6708,380000.0,5,Kolkata
3,Maruti Swift,Maruti,2019,20580,Petrol,Manual,7066,400000.0,7,Kolkata
4,KIA CARENS,KIA,2023,12078,Petrol,Auto,25400,1483000.0,3,Kolkata
5,Hyundai Creta,Hyundai,2018,98265,Petrol,Manual,9801,555000.0,8,Kolkata
6,MG HECTOR PLUS,MG,2020,91408,Petrol,Manual,16609,969999.9999999999,6,Kolkata
7,Honda Amaze,Honda,2018,33222,Petrol,Manual,6796,385000.0,8,Kolkata
8,Mahindra TUV300,Mahindra,2016,81481,Diesel,Manual,10138,385000.0,10,Kolkata
9,Hyundai GRAND I10 NIOS,Hyundai,2022,56783,Petrol,Manual,8406,476000.0,4,Kolkata
10,Hyundai i10,Hyundai,2013,48585,Petrol,Manual,7782,165000.0,13,Kolkata
11,MG HECTOR PLUS,MG,2020,52035,Petrol,Manual,18232,1065000.0,6,Kolkata
12,KIA SONET,KIA,2021,34904,Petrol,Manual,8826,500000.0,5,Kolkata
13,Maruti IGNIS,Maruti,2018,29145,Petrol,Manual,6015,341000.0,8,Kolkata
14,Maruti Baleno,Maruti,2017,66316,Petrol,Manual,7527,385000.0,9,Kolkata
15,Hyundai Verna,Hyundai,2015,23905,Petrol,Manual,7368,280000.0,11,Kolkata
16,Tata NEXON,Tata,2024,7773,Petrol,Auto,22900,1337000.0,2,Kolkata
17,Honda City,Honda,2023,50961,Petrol,Auto,16609,969999.9999999999,3,Kolkata
18,Hyundai NEW I20,Hyundai,2023,23073,Petrol,Manual,11742,665000.0,3,Kolkata
19,Hyundai Eon,Hyundai,2016,23594,Petrol,Manual,4338,195000.0,10,Kolkata
20,Maruti Vitara Brezza,Maruti,2020,75835,Petrol,Auto,10768,610000.0,6,Kolkata
21,KIA SELTOS,KIA,2022,20815,Petrol,Manual,14897,869999.9999999999,4,Kolkata
22,Honda City,Honda,2022,43284,Petrol,Auto,15650,914000.0,4,Kolkata
23,Hyundai GRAND I10 NIOS,Hyundai,2023,29661,Petrol,Manual,7859,445000.0,3,Kolkata
24,Hyundai VENUE,Hyundai,2022,52748,Diesel,Manual,11474,650000.0,4,Kolkata
25,Maruti Ertiga,Maruti,2021,79857,Petrol,Manual,11850,671000.0,5,Kolkata
26,Maruti Ciaz,Maruti,2021,78666,Petrol,Manual,9003,509999.99999999994,5,Kolkata
27,Renault Kwid,Renault,2018,47085,Petrol,Manual,2754,156000.0,8,Kolkata
28,Honda Jazz,Honda,2018,84718,Diesel,Manual,7630,390000.0,8,Kolkata
29,Volkswagen Ameo,Volkswagen,2017,68886,Petrol,Manual,5572,285000.0,9,Kolkata
30,Maruti Swift,Maruti,2022,43123,Petrol,Manual,8911,505000.0,4,Kolkata
31,Hyundai NEW SANTRO,Hyundai,2021,12033,Petrol,Manual,6532,370000.0,5,Kolkata
32,Honda WR-V,Honda,2018,39230,Petrol,Manual,5705,323000.0,8,Kolkata
33,Renault Kwid,Renault,2022,16332,Petrol,Manual,6090,345000.0,4,Kolkata
34,Maruti Swift,Maruti,2018,45094,Petrol,Manual,5909,335000.0,8,Kolkata
35,Hyundai AURA,Hyundai,2020,47742,Petrol,Manual,6747,382000.0,6,Kolkata
36,Honda Amaze,Honda,2022,20831,Petrol,Manual,8120,459999.99999999994,4,Kolkata
37,Hyundai i20 Active,Hyundai,2018,43067,Petrol,Manual,9405,533000.0,8,Kolkata
38,Hyundai VENUE,Hyundai,2024,8305,Petrol,Manual,13752,779000.0,2,Kolkata
39,Hyundai Grand i10,Hyundai,2017,54380,Petrol,Manual,5239,268000.0,9,Kolkata
40,Mahindra MARAZZO,Mahindra,2019,87991,Diesel,Manual,6983,396000.0,7,Kolkata
41,Maruti Swift,Maruti,2017,74732,Petrol,Manual,5772,295000.0,9,Kolkata
42,Maruti Wagon R 1.0,Maruti,2014,68771,Petrol,Manual,6809,204999.99999999997,12,Kolkata
43,Hyundai NEW I20,Hyundai,2023,35729,Petrol,Auto,12533,710000.0,3,Kolkata
44,Maruti Alto K10,Maruti,2023,50709,Petrol,Manual,5561,315000.0,3,Kolkata
45,Maruti Swift,Maruti,2013,74540,Petrol,Manual,8709,185000.0,13,Kolkata
46,Honda Brio,Honda,2013,67018,Petrol,Manual,7183,153000.0,13,Kolkata
47,Honda WR-V,Honda,2017,55352,Petrol,Manual,7215,369000.0,9,Kolkata
48,Maruti Alto 800,Maruti,2013,40587,Petrol,Manual,7061,150000.0,13,Kolkata
49,MG ASTOR,MG,2022,17466,Petrol,Auto,19348,1130000.0,4,Kolkata
50,Mahindra XUV300,Mahindra,2023,22230,Petrol,Manual,12710,720000.0,3,Kolkata
51,Hyundai Verna,Hyundai,2022,73143,Diesel,Auto,13469,763000.0,4,Kolkata
52,Hyundai Verna,Hyundai,2012,38133,Petrol,Manual,20435,229999.99999999997,14,Kolkata
53,Hyundai Verna,Hyundai,2014,60889,Petrol,Manual,7905,238000.0,12,Kolkata
54,Skoda Superb,Skoda,2019,23235,Petrol,Auto,18835,1100000.0,7,Kolkata
55,Maruti Dzire,Maruti,2018,52210,Petrol,Manual,6002,340000.0,8,Kolkata
56,Tata NEXON,Tata,2023,19428,Petrol,Auto,15406,900000.0,3,Kolkata
57,Maruti S PRESSO,Maruti,2024,4041,Petrol,Manual,7149,405000.0,2,Kolkata
58,Mahindra BOLERO NEO,Mahindra,2022,114913,Diesel,Manual,14236,640000.0,4,Kolkata
59,Honda WR-V,Honda,2018,31559,Petrol,Manual,8004,453000.0,8,Kolkata
60,Hyundai VENUE,Hyundai,2020,54006,Petrol,Manual,8056,455999.99999999994,6,Kolkata
61,Tata Tiago,Tata,2022,82299,Petrol,Manual,6371,361000.0,4,Kolkata
62,Hyundai i10,Hyundai,2013,21011,Petrol,Manual,8285,176000.0,13,Kolkata
63,Tata NEXON,Tata,2019,31721,Petrol,Manual,7591,430000.0,7,Kolkata
64,Maruti IGNIS,Maruti,2020,79536,Petrol,Auto,6708,380000.0,6,Kolkata
65,Hyundai Verna,Hyundai,2019,77010,Petrol,Auto,10768,610000.0,7,Kolkata
66,Honda WR-V,Honda,2019,14364,Petrol,Manual,8826,500000.0,7,Kolkata
67,Maruti Celerio,Maruti,2017,51831,Petrol,Manual,4799,245000.00000000003,9,Kolkata
68,Hyundai NEW SANTRO,Hyundai,2020,13277,Petrol,Manual,5288,300000.0,6,Kolkata
