,car_name,brand,year_of_manufacture,kms_driven,fuel_type,transmission_type,emi,price,car_age_years,city
0,Maruti Alto K10,Maruti,2018,46484,Petrol,Manual,4596,260000.0,8,Lucknow
1,Tata Harrier,Tata,2020,73584,Diesel,Manual,20341,1188000.0,6,Lucknow
2,Maruti Celerio,Maruti,2016,134515,Petrol,Manual,4791,215000.0,10,Lucknow
3,Honda Amaze,Honda,2019,33734,Petrol,Manual,7810,442000.0,7,Lucknow
4,Nissan MAGNITE,Nissan,2021,57284,Petrol,Manual,7719,437000.0,5,Lucknow
5,MG ASTOR,MG,2023,59431,Petrol,Manual,11456,649000.0,3,Lucknow
6,Tata NEXON,Tata,2021,122091,Petrol,Manual,15571,700000.0,5,Lucknow
7,Toyota Urban Cruiser Taisor,Toyota,2024,9383,Petrol,Auto,16609,969999.9999999999,2,Lucknow
8,Maruti Wagon R 1.0,Maruti,2013,74525,CNG,Manual,16609,191000.0,13,Lucknow
9,Tata NEXON,Tata,2023,71698,Diesel,Manual,16780,980000.0000000001,3,Lucknow
10,Hyundai Creta,Hyundai,2021,27201,Petrol,Manual,17203,1005000.0000000001,5,Lucknow
11,Skoda KUSHAQ,Skoda,2022,29310,Petrol,Auto,18797,1098000.0,4,Lucknow
12,Mahindra Thar,Mahindra,2023,82278,Diesel,Manual,18578,1085000.0,3,Lucknow
13,Hyundai Elite i20,Hyundai,2019,64596,Petrol,Manual,6620,375000.0,7,Lucknow
14,Renault Kiger,Renault,2022,58045,Petrol,Manual,9974,565000.0,4,Lucknow
15,Hyundai i10,Hyundai,2014,39040,Petrol,Manual,6085,183000.0,12,Lucknow
16,Maruti Vitara Brezza,Maruti,2020,33233,Petrol,Manual,8752,496000.0,6,Lucknow
17,Hyundai Verna,Hyundai,2019,67455,Diesel,Manual,12357,700000.0,7,Lucknow
18,Nissan MAGNITE,Nissan,2021,59274,Petrol,Manual,7061,400000.0,5,Lucknow
19,Renault Kwid,Renault,2020,97788,Petrol,Manual,3490,198000.0,6,Lucknow
20,Renault Kwid,Renault,2020,51299,Petrol,Manual,3884,220000.00000000003,6,Lucknow
21,Nissan Kicks,Nissan,2021,48055,Petrol,Auto,13240,750000.0,5,Lucknow
22,KIA CARENS,KIA,2022,35514,Petrol,Manual,14476,844999.9999999999,4,Lucknow
23,Tata Tiago,Tata,2018,38194,Petrol,Manual,4939,280000.0,8,Lucknow
24,Tata NEXON,Tata,2024,88371,CNG,Manual,12269,695000.0,2,Lucknow
25,Mahindra Scorpio,Mahindra,2019,57161,Diesel,Manual,13955,815000.0,7,Lucknow
26,Maruti Alto K10,Maruti,2019,55599,Petrol,Manual,4844,274000.0,7,Lucknow
27,Mahindra Bolero,Mahindra,2020,92722,Diesel,Manual,10239,580000.0,6,Lucknow
28,Hyundai Elite i20,Hyundai,2019,94878,Diesel,Manual,7238,409999.99999999994,7,Lucknow
29,Tata PUNCH,Tata,2023,40387,Petrol,Manual,10286,583000.0,3,Lucknow
30,Hyundai Creta,Hyundai,2017,64079,Diesel,Manual,13452,605000.0,9,Lucknow
