,car_name,brand,year_of_manufacture,kms_driven,fuel_type,transmission_type,emi,price,car_age_years,city
0,Maruti Swift Dzire,Maruti,2016,95523,Diesel,Manual,6636,252000.0,10,Nagpur
1,Tata NEXON,Tata,2025,3580,Petrol,Auto,23201,1355000.0,1,Nagpur
2,Maruti Alto 800,Maruti,2014,83959,Petrol,Manual,6311,190000.0,12,Nagpur
3,Hyundai Eon,Hyundai,2015,25925,Petrol,Manual,6004,227999.99999999997,11,Nagpur
4,Honda Amaze,Honda,2015,199432,Petrol,Manual,6057,229999.99999999997,11,Nagpur
5,Tata NEXON,Tata,2019,137815,Petrol,Manual,12012,540000.0,7,Nagpur
6,Mahindra XUV500,Mahindra,2015,46300,Diesel,Manual,15744,474000.0,11,Nagpur
7,Chevrolet Sail,Chevrolet,2014,110174,Petrol,Manual,4351,131000.0,12,Nagpur
8,Tata Nano,Tata,2011,44875,Petrol,Manual,4351,31000.0,15,Nagpur
9,Honda Amaze,Honda,2021,48002,Petrol,Manual,10856,615000.0,5,Nagpur
10,Maruti S PRESSO,Maruti,2021,26822,Petrol,Manual,7132,404000.0,5,Nagpur
11,Maruti Dzire,Maruti,2019,129297,Diesel,Manual,10010,450000.0,7,Nagpur
12,Maruti Alto K10,Maruti,2013,72901,Petrol,Manual,7249,154000.0,13,Nagpur
13,Maruti Swift,Maruti,2016,48200,Petrol,Manual,7385,332000.0,10,Nagpur
14,Maruti Swift Dzire,Maruti,2016,120767,Diesel,Manual,7584,288000.0,10,Nagpur
15,Maruti Alto K10,Maruti,2014,24840,Petrol,Manual,6311,190000.0,12,Nagpur
16,Datsun Go,Datsun,2014,93291,Petrol,Manual,4650,140000.0,12,Nagpur
17,Hyundai VENUE,Hyundai,2019,18235,Petrol,Manual,12357,700000.0,7,Nagpur
18,Hyundai i20,Hyundai,2012,53431,Petrol,Manual,19191,216000.0,14,Nagpur
19,Maruti Alto 800,Maruti,2012,29897,Petrol,Manual,14216,160000.0,14,Nagpur
20,Hyundai i10,Hyundai,2012,22802,Petrol,Manual,15815,178000.0,14,Nagpur
21,Tata NEXON,Tata,2025,14243,Petrol,Manual,20547,1200000.0,1,Nagpur
22,Hyundai i10,Hyundai,2012,60688,Petrol,Auto,17414,196000.0,14,Nagpur
23,Hyundai i10,Hyundai,2012,53941,Petrol,Manual,14038,158000.0,14,Nagpur
24,Maruti Wagon R 1.0,Maruti,2013,82334,Petrol,Manual,9415,200000.0,13,Nagpur
25,Maruti Eeco,Maruti,2023,3641,Petrol,Manual,9709,550000.0,3,Nagpur
26,Hyundai i10,Hyundai,2012,79066,Petrol,Auto,13860,156000.0,14,Nagpur
27,Nissan MAGNITE,Nissan,2023,39582,Petrol,Manual,9038,512000.0,3,Nagpur
28,Maruti Alto 800,Maruti,2016,49156,Petrol,Manual,4246,191000.0,10,Nagpur
29,Maruti New Wagon-R,Maruti,2024,35033,Petrol,Manual,9886,560000.0,2,Nagpur
30,Hyundai i10,Hyundai,2012,78744,Petrol,Manual,17770,200000.0,14,Nagpur
31,Hyundai Santro Xing,Hyundai,2011,90143,Petrol,Manual,17770,114999.99999999999,15,Nagpur
32,Hyundai Verna,Hyundai,2012,99999,Diesel,Manual,17770,295000.0,14,Nagpur
33,Renault Duster,Renault,2014,117605,Diesel,Manual,12945,275000.0,12,Nagpur
34,Volkswagen Polo,Volkswagen,2015,100800,Diesel,Manual,9964,300000.0,11,Nagpur
35,Hyundai Verna,Hyundai,2012,75046,Petrol,Manual,20613,231999.99999999997,14,Nagpur
36,Tata Tiago,Tata,2025,3647,Petrol,Manual,9603,544000.0,1,Nagpur
37,Renault Kwid,Renault,2017,82913,Petrol,Manual,4301,220000.00000000003,9,Nagpur
38,Toyota Etios,Toyota,2013,131857,Diesel,Manual,22212,250000.0,13,Nagpur
