,car_name,brand,year_of_manufacture,kms_driven,fuel_type,transmission_type,emi,price,car_age_years,city
0,Maruti Ertiga,Maruti,2019,92458,Petrol,Manual,12354,700000.0,7,Patna
1,Hyundai i10,Hyundai,2016,36455,Petrol,Manual,4998,225000.0,10,Patna
2,Maruti Celerio,Maruti,2016,52386,Petrol,Auto,6031,271000.0,10,Patna
3,Maruti Swift,Maruti,2016,22772,Petrol,Manual,7765,349000.0,10,Patna
4,Tata Tiago,Tata,2018,53495,Petrol,Manual,4536,256999.99999999997,8,Patna
5,Tata NEXON,Tata,2023,16636,Petrol,Manual,18939,1106000.0,3,Patna
6,Ford FREESTYLE,Ford,2019,27488,Petrol,Manual,6626,375000.0,7,Patna
7,Maruti S Cross,Maruti,2021,28379,Petrol,Manual,11518,652000.0,5,Patna
8,KIA SELTOS,KIA,2021,71330,Petrol,Auto,20119,1175000.0,5,Patna
9,Maruti Dzire,Maruti,2019,30100,Petrol,Manual,8412,476999.99999999994,7,Patna
10,Hyundai GRAND I10 NIOS,Hyundai,2022,19850,Petrol,Manual,7967,451000.0,4,Patna
11,Maruti Swift,Maruti,2018,33345,Petrol,Manual,8385,475000.0,8,Patna
12,Honda WR-V,Honda,2017,73513,Diesel,Manual,11351,509999.99999999994,9,Patna
13,Honda Amaze,Honda,2024,19948,Petrol,Manual,12127,687000.0,2,Patna
14,Mahindra Scorpio,Mahindra,2021,59447,Diesel,Manual,18820,1099000.0,5,Patna
15,KIA SONET,KIA,2020,38690,Petrol,Manual,11162,632000.0,6,Patna
16,Hyundai Elite i20,Hyundai,2019,35356,Petrol,Manual,6992,396000.0,7,Patna
17,Maruti Alto 800,Maruti,2018,80610,Petrol,Manual,2698,153000.0,8,Patna
18,Maruti Alto K10,Maruti,2019,35115,Petrol,Manual,4524,256000.0,7,Patna
19,KIA SONET,KIA,2021,60670,Petrol,Manual,13484,764000.0,5,Patna
20,Maruti IGNIS,Maruti,2022,29636,Petrol,Manual,7706,437000.0,4,Patna
21,Hyundai GRAND I10 NIOS,Hyundai,2022,6976,Petrol,Auto,9706,550000.0,4,Patna
22,Skoda KUSHAQ,Skoda,2022,71865,Petrol,Manual,14443,844000.0,4,Patna
23,Skoda KUSHAQ,Skoda,2023,66576,Petrol,Manual,16092,940000.0,3,Patna
24,Tata NEXON,Tata,2020,46430,Petrol,Manual,10415,590000.0,6,Patna
25,Maruti Celerio,Maruti,2021,72775,Petrol,Manual,5649,320000.0,5,Patna
26,Hyundai VENUE,Hyundai,2021,65283,Petrol,Manual,12181,690000.0,5,Patna
27,Hyundai AURA,Hyundai,2021,95560,CNG,Manual,8297,470000.0,5,Patna
28,Hyundai VENUE,Hyundai,2020,32411,Petrol,Manual,10503,595000.0,6,Patna
29,Hyundai NEW I20,Hyundai,2023,54110,Petrol,Manual,9974,565000.0,3,Patna
30,Maruti Alto K10,Maruti,2018,87853,Petrol,Manual,4325,245000.00000000003,8,Patna
31,Datsun Redi Go,Datsun,2020,24295,Petrol,Manual,3742,212000.0,6,Patna
32,Maruti BREZZA,Maruti,2022,28115,Petrol,Manual,14959,874000.0,4,Patna
33,Honda WR-V,Honda,2018,34229,Petrol,Manual,8297,470000.0,8,Patna
34,Tata Tiago,Tata,2023,45481,Petrol,Manual,7149,405000.0,3,Patna
35,Maruti FRONX,Maruti,2024,7554,Petrol,Auto,12798,725000.0,2,Patna
36,Hyundai Eon,Hyundai,2013,40001,Petrol,Manual,6967,148000.0,13,Patna
37,Maruti S PRESSO,Maruti,2019,33802,Petrol,Auto,5737,325000.0,7,Patna
38,Tata Tiago,Tata,2023,14332,Petrol,Auto,8209,465000.00000000006,3,Patna
39,Maruti New Wagon-R,Maruti,2022,27107,Petrol,Manual,8650,490000.00000000006,4,Patna
40,Honda Jazz,Honda,2017,28120,Petrol,Auto,6629,339000.0,9,Patna
41,Datsun Go Plus,Datsun,2021,31233,Petrol,Manual,6451,365000.0,5,Patna
42,Toyota Innova Crysta,Toyota,2022,86718,Diesel,Auto,28338,1655000.0,4,Patna
43,Renault TRIBER,Renault,2019,62100,Petrol,Manual,7861,445000.0,7,Patna
44,Honda WR-V,Honda,2020,86665,Diesel,Manual,8964,508000.0,6,Patna
45,KIA SELTOS,KIA,2021,70395,Petrol,Manual,17670,1032000.0,5,Patna
46,Tata TIAGO NRG,Tata,2022,27604,Petrol,Auto,7970,451000.0,4,Patna
47,Hyundai Creta,Hyundai,2022,73081,Diesel,Manual,17858,1043000.0,4,Patna
48,Hyundai Grand i10,Hyundai,2017,83797,Diesel,Manual,5850,263000.0,9,Patna
49,Maruti Baleno,Maruti,2018,49808,Petrol,Manual,7767,440000.00000000006,8,Patna
50,Hyundai EXTER,Hyundai,2023,21275,Petrol,Auto,11400,646000.0,3,Patna
51,Maruti S Cross,Maruti,2022,47877,Petrol,Manual,10768,610000.0,4,Patna
52,Maruti S PRESSO,Maruti,2021,64045,Petrol,Manual,5561,315000.0,5,Patna
53,Tata Tiago,Tata,2024,26153,Petrol,Manual,8478,480000.0,2,Patna
54,Tata NEXON,Tata,2019,21376,Petrol,Manual,7843,444000.00000000006,7,Patna
55,Maruti Alto K10,Maruti,2013,107475,Petrol,Manual,6355,135000.0,13,Patna
56,Hyundai GRAND I10 NIOS,Hyundai,2023,67739,CNG,Manual,9886,560000.0,3,Patna
57,Nissan MAGNITE,Nissan,2022,18531,Petrol,Auto,10833,614000.0,4,Patna
58,Tata NEXON,Tata,2023,12845,Diesel,Manual,17465,1019999.9999999999,3,Patna
59,Tata NEXON,Tata,2021,87615,Petrol,Manual,12004,680000.0,5,Patna
60,Ford Ecosport,Ford,2019,61635,Petrol,Manual,7804,442000.0,7,Patna
