,car_name,brand,year_of_manufacture,kms_driven,fuel_type,transmission_type,emi,price,car_age_years,city
0,Hyundai Eon,Hyundai,2017,11320,Petrol,Manual,4568,234000.0,9,Surat
1,Hyundai Eon,Hyundai,2017,47628,Petrol,Manual,4771,244000.0,9,Surat
2,Honda Amaze,Honda,2013,59022,Diesel,Manual,21435,241000.0,13,Surat
3,Maruti Baleno,Maruti,2017,55054,Petrol,Manual,7419,379000.0,9,Surat
4,Hyundai i10,Hyundai,2012,70879,Petrol,Manual,11819,133000.0,14,Surat
5,Maruti New Wagon-R,Maruti,2021,38943,Petrol,Manual,7238,409999.99999999994,5,Surat
6,Volkswagen TAIGUN,Volkswagen,2021,56630,Petrol,Manual,15239,890000.0,5,Surat
7,Hyundai Verna,Hyundai,2019,73350,Petrol,Manual,9797,555000.0,7,Surat
8,Maruti Ertiga,Maruti,2020,39265,Petrol,Manual,12337,699000.0,6,Surat
9,KIA SONET,KIA,2022,36812,Diesel,Manual,13944,814000.0,4,Surat
10,Maruti Alto 800,Maruti,2017,97714,Petrol,Manual,4106,210000.0,9,Surat
11,Hyundai Eon,Hyundai,2016,71700,CNG,Manual,5494,165000.0,10,Surat
12,Hyundai Creta,Hyundai,2017,76961,Petrol,Manual,11234,575000.0,9,Surat
13,Hyundai Grand i10,Hyundai,2018,96033,Petrol,Manual,6381,361000.0,8,Surat
14,Jeep Compass,Jeep,2017,91443,Diesel,Manual,13569,610000.0,9,Surat
15,Honda City,Honda,2021,78333,CNG,Manual,11474,650000.0,5,Surat
16,Hyundai Grand i10,Hyundai,2016,52121,Petrol,Auto,7118,320000.0,10,Surat
17,Renault Kwid,Renault,2018,65589,Petrol,Manual,3354,190000.0,8,Surat
18,Hyundai Elite i20,Hyundai,2019,117259,CNG,Manual,11345,509999.99999999994,7,Surat
19,Maruti Alto 800,Maruti,2017,22466,Petrol,Manual,3513,180000.0,9,Surat
20,Maruti Alto,Maruti,2022,8104,Petrol,Manual,5354,303000.0,4,Surat
21,Maruti Wagon R 1.0,Maruti,2018,48480,Petrol,Manual,4643,263000.0,8,Surat
22,Tata NEXON,Tata,2021,50137,Petrol,Auto,13240,750000.0,5,Surat
23,Hyundai Grand i10,Hyundai,2018,44398,CNG,Manual,9343,420000.0,8,Surat
24,Skoda Octavia,Skoda,2019,55287,Petrol,Auto,15796,923000.0,7,Surat
25,Renault Kwid,Renault,2018,43025,Petrol,Manual,3054,173000.0,8,Surat
26,Skoda KUSHAQ,Skoda,2021,59379,Petrol,Manual,10327,585000.0,5,Surat
27,Hyundai Verna,Hyundai,2016,69543,Petrol,Auto,8564,385000.0,10,Surat
28,Hyundai Verna,Hyundai,2025,10992,Petrol,Auto,20805,1215000.0,1,Surat
29,Maruti Alto 800,Maruti,2019,95614,CNG,Manual,4459,227999.99999999997,7,Surat
30,Tata NEXON,Tata,2021,87448,Petrol,Auto,11544,654000.0,5,Surat
31,Hyundai Eon,Hyundai,2017,132347,Petrol,Manual,3670,165000.0,9,Surat
32,Hyundai AURA,Hyundai,2021,13221,Petrol,Manual,9268,525000.0,5,Surat
33,Maruti Alto 800,Maruti,2017,45083,Petrol,Manual,3480,178000.0,9,Surat
34,Nissan Terrano,Nissan,2014,79931,Diesel,Manual,13101,278000.0,12,Surat
35,Maruti Swift,Maruti,2021,34844,Petrol,Manual,9621,545000.0,5,Surat
36,Maruti Baleno,Maruti,2020,60541,CNG,Manual,9345,529000.0,6,Surat
37,Hyundai i10,Hyundai,2013,83202,Petrol,Manual,8238,175000.0,13,Surat
38,Mahindra XUV500,Mahindra,2020,30379,Diesel,Manual,13681,775000.0,6,Surat
39,Honda Amaze,Honda,2014,66772,Petrol,Manual,8802,265000.0,12,Surat
