,car_name,brand,year_of_manufacture,kms_driven,fuel_type,transmission_type,emi,price,car_age_years,city
0,Tata TIGOR,Tata,2019,82746,CNG,Manual,6657,341000.0,7,Vadodara
1,Maruti Baleno,Maruti,2018,88861,Petrol,Manual,7308,413999.99999999994,8,Vadodara
2,Mahindra XUV700,Mahindra,2022,69318,Petrol,Manual,19208,1122000.0,4,Vadodara
3,Honda City,Honda,2015,77600,Diesel,Manual,14531,437000.0,11,Vadodara
4,Maruti Wagon R 1.0,Maruti,2013,70066,Petrol,Manual,10436,222000.00000000003,13,Vadodara
5,Ford Ecosport,Ford,2019,64389,Petrol,Auto,8605,487000.0,7,Vadodara
6,Maruti Swift Dzire,Maruti,2016,72132,Petrol,Manual,7074,318000.0,10,Vadodara
7,Nissan Sunny,Nissan,2016,128818,Petrol,Manual,5888,265000.0,10,Vadodara
8,Hyundai Grand i10,Hyundai,2016,96930,Petrol,Manual,7602,342000.0,10,Vadodara
9,Honda Brio,Honda,2014,79294,Petrol,Manual,7812,235000.0,12,Vadodara
10,Jeep Compass,Jeep,2021,62540,Petrol,Auto,16686,974000.0,5,Vadodara
11,Tata TIGOR,Tata,2019,124814,CNG,Manual,8119,365000.0,7,Vadodara
12,Hyundai Eon,Hyundai,2016,55303,Petrol,Manual,3670,165000.0,10,Vadodara
13,Maruti Alto,Maruti,2019,79039,Petrol,Manual,3795,215000.0,7,Vadodara
14,Maruti Baleno,Maruti,2019,70211,Petrol,Manual,8473,480000.0,7,Vadodara
15,Maruti S Cross,Maruti,2018,60172,Diesel,Manual,12414,635000.0,8,Vadodara
16,Renault Kwid,Renault,2021,28245,Petrol,Manual,5099,289000.0,5,Vadodara
17,Skoda Octavia,Skoda,2016,142130,Petrol,Manual,6569,295000.0,10,Vadodara
18,Tata ALTROZ,Tata,2023,14624,Petrol,Manual,9610,544000.0,3,Vadodara
19,KIA SELTOS,KIA,2020,21333,Petrol,Auto,16968,991000.0,6,Vadodara
20,Honda WR-V,Honda,2018,66531,Petrol,Manual,8385,475000.0,8,Vadodara
21,Hyundai NEW I20,Hyundai,2025,8856,Petrol,Auto,13572,769000.0,1,Vadodara
22,Hyundai Elite i20,Hyundai,2014,77039,Petrol,Manual,10974,330000.0,12,Vadodara
23,Mahindra XUV500,Mahindra,2021,70007,Diesel,Auto,16266,950000.0,5,Vadodara
24,Maruti Celerio,Maruti,2014,73886,CNG,Manual,21324,240000.0,12,Vadodara
25,Mahindra XUV300,Mahindra,2020,79449,Diesel,Manual,11386,645000.0,6,Vadodara
26,Maruti Baleno,Maruti,2020,70289,Petrol,Manual,7414,420000.0,6,Vadodara
27,Maruti Celerio,Maruti,2019,80595,CNG,Manual,6083,311000.0,7,Vadodara
28,Maruti Eeco,Maruti,2019,26591,Petrol,Manual,6403,363000.0,7,Vadodara
29,Volkswagen TAIGUN,Volkswagen,2023,44100,Petrol,Auto,16771,978999.9999999999,3,Vadodara
30,Hyundai Elite i20,Hyundai,2017,37236,Petrol,Manual,8993,459999.99999999994,9,Vadodara
31,Maruti IGNIS,Maruti,2018,29038,Petrol,Auto,6511,369000.0,8,Vadodara
32,Honda City,Honda,2015,63245,Diesel,Manual,14448,434999.99999999994,11,Vadodara
33,Mahindra XUV300,Mahindra,2021,58969,Petrol,Manual,10592,600000.0,5,Vadodara
34,Hyundai i20,Hyundai,2014,116327,CNG,Manual,25084,282000.0,12,Vadodara
35,Maruti Wagon R 1.0,Maruti,2017,57122,Petrol,Manual,4972,254000.0,9,Vadodara
36,Honda Amaze,Honda,2019,82457,Petrol,Manual,8336,472000.0,7,Vadodara
37,Maruti New Wagon-R,Maruti,2022,30961,Petrol,Manual,6540,370000.0,4,Vadodara
38,Mahindra Kuv100,Mahindra,2017,58613,Diesel,Manual,6228,280000.0,9,Vadodara
39,Maruti Alto 800,Maruti,2017,69623,Petrol,Manual,3578,183000.0,9,Vadodara
40,Renault Duster,Renault,2015,118770,Diesel,Manual,9134,275000.0,11,Vadodara
41,Tata Tiago,Tata,2018,83861,Petrol,Manual,4883,277000.0,8,Vadodara
42,Mahindra TUV300,Mahindra,2017,20374,Diesel,Manual,10677,480000.0,9,Vadodara
43,Tata NEXON,Tata,2025,8858,CNG,Manual,18837,1100000.0,1,Vadodara
