,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
0,Maruti Swift,Maruti,2018,"37,239 km",Petrol,Manual,"EMI ₹6,708/m*",₹3.80 lakh
1,Ford New Figo,Ford,2017,"69,729 km",Diesel,Manual,"EMI ₹7,127/m*",₹3.20 lakh
2,Maruti New Wagon-R,Maruti,2021,"80,358 km",Petrol,Manual,"EMI ₹5,155/m*",₹2.92 lakh
3,Maruti Swift,Maruti,2014,"82,636 km",Petrol,Manual,"EMI ₹9,603/m*",₹2.89 lakh
4,Tata NEXON,Tata,2023,"34,045 km",Petrol,Auto,"EMI ₹13,593/m*",₹7.70 lakh
5,Hyundai Creta,Hyundai,2020,"58,329 km",Petrol,Auto,"EMI ₹21,917/m*",₹12.80 lakh
6,Ford New Figo,Ford,2020,"63,510 km",Diesel,Manual,"EMI ₹7,185/m*",₹4.07 lakh
7,Ford FREESTYLE,Ford,2021,"85,909 km",Diesel,Manual,"EMI ₹9,356/m*",₹5.30 lakh
8,Honda WR-V,Honda,2022,"37,677 km",Petrol,Manual,"EMI ₹9,515/m*",₹5.39 lakh
9,Tata ALTROZ,Tata,2023,"14,383 km",Petrol,Auto,"EMI ₹12,357/m*",₹7.00 lakh
10,Hyundai i10,Hyundai,2016,"63,095 km",Petrol,Manual,"EMI ₹4,293/m*",₹1.93 lakh
11,KIA SONET,KIA,2022,"65,766 km",Petrol,Manual,"EMI ₹13,116/m*",₹7.43 lakh
12,Maruti Swift Dzire,Maruti,2014,"89,040 km",Petrol,Manual,"EMI ₹6,975/m*",₹2.10 lakh
13,Mahindra XUV500,Mahindra,2016,"80,290 km",Diesel,Manual,"EMI ₹10,534/m*",₹4.00 lakh
14,Hyundai VENUE,Hyundai,2021,"37,303 km",Petrol,Manual,"EMI ₹12,966/m*",₹7.34 lakh
15,Maruti BREZZA,Maruti,2022,"30,104 km",Petrol,Auto,"EMI ₹16,609/m*",₹9.70 lakh
16,Maruti Alto,Maruti,2021,"8,685 km",Petrol,Manual,"EMI ₹5,472/m*",₹3.10 lakh
17,Hyundai Grand i10,Hyundai,2017,"48,174 km",Petrol,Manual,"EMI ₹5,767/m*",₹2.95 lakh
18,Honda City,Honda,2022,"47,008 km",Petrol,Auto,"EMI ₹16,866/m*",₹9.85 lakh
19,Datsun Redi Go,Datsun,2019,"36,748 km",Petrol,Manual,"EMI ₹3,195/m*",₹1.81 lakh
20,Tata Tiago,Tata,2017,"55,831 km",Petrol,Manual,"EMI ₹5,103/m*",₹2.61 lakh
21,Honda City,Honda,2019,"81,563 km",Petrol,Manual,"EMI ₹9,850/m*",₹5.58 lakh
22,Tata NEXON,Tata,2022,"12,001 km",Petrol,Auto,"EMI ₹13,469/m*",₹7.63 lakh
23,Tata Tiago,Tata,2021,"49,311 km",Petrol,Auto,"EMI ₹7,132/m*",₹4.04 lakh
24,Honda Brio,Honda,2014,"67,353 km",Petrol,Manual,"EMI ₹5,979/m*",₹1.80 lakh
25,Jeep Compass,Jeep,2018,"55,190 km",Petrol,Auto,"EMI ₹12,886/m*",₹7.30 lakh
26,Tata PUNCH,Tata,2022,"27,473 km",Petrol,Manual,"EMI ₹7,573/m*",₹4.29 lakh
27,Hyundai GRAND I10 NIOS,Hyundai,2022,"23,578 km",Petrol,Manual,"EMI ₹7,940/m*",₹4.50 lakh
28,Jeep Compass,Jeep,2020,"40,079 km",Petrol,Auto,"EMI ₹16,523/m*",₹9.65 lakh
29,Maruti IGNIS,Maruti,2019,"16,947 km",Petrol,Auto,"EMI ₹7,061/m*",₹4.00 lakh
30,Hyundai Xcent,Hyundai,2018,"55,716 km",Petrol,Manual,"EMI ₹6,055/m*",₹3.43 lakh
31,Mahindra XUV300,Mahindra,2021,"94,572 km",Diesel,Auto,"EMI ₹9,868/m*",₹5.59 lakh
32,Honda City,Honda,2018,"48,985 km",Diesel,Manual,"EMI ₹9,580/m*",₹4.90 lakh
33,Datsun Go,Datsun,2015,"68,875 km",Petrol,Manual,"EMI ₹4,213/m*",₹1.60 lakh
34,Tata NEXON,Tata,2022,"35,790 km",CNG,Manual,"EMI ₹9,886/m*",₹5.60 lakh
35,Maruti Swift,Maruti,2017,"41,239 km",Petrol,Manual,"EMI ₹7,035/m*",₹3.60 lakh
36,Hyundai Grand i10,Hyundai,2018,"42,162 km",Petrol,Manual,"EMI ₹5,878/m*",₹3.33 lakh
37,Skoda SLAVIA,Skoda,2022,"34,754 km",Petrol,Manual,"EMI ₹14,987/m*",₹8.75 lakh
38,Tata NEXON,Tata,2018,"70,648 km",Diesel,Manual,"EMI ₹7,507/m*",₹3.84 lakh
39,MG HECTOR,MG,2020,"48,182 km",Petrol,Auto,"EMI ₹19,235/m*",₹11.23 lakh
40,Tata NEXON,Tata,2022,"53,077 km",Diesel,Manual,"EMI ₹11,774/m*",₹6.67 lakh
41,Maruti Alto K10,Maruti,2018,"36,954 km",Petrol,Manual,"EMI ₹4,660/m*",₹2.64 lakh
42,Maruti Swift Dzire,Maruti,2017,"79,717 km",Diesel,Manual,"EMI ₹7,541/m*",₹3.39 lakh
43,Maruti FRONX,Maruti,2023,"23,534 km",Petrol,Auto,"EMI ₹12,354/m*",₹7.00 lakh
44,Maruti Alto,Maruti,2021,"31,774 km",Petrol,Manual,"EMI ₹4,943/m*",₹2.80 lakh
45,KIA CARENS,KIA,2023,"22,338 km",Petrol,Manual,"EMI ₹14,194/m*",₹8.29 lakh
46,Maruti Ciaz,Maruti,2021,"92,897 km",Petrol,Manual,"EMI ₹10,733/m*",₹6.08 lakh
47,Maruti S Cross,Maruti,2015,"91,451 km",Diesel,Manual,"EMI ₹9,732/m*",₹2.93 lakh
48,Honda Amaze,Honda,2018,"24,633 km",Petrol,Manual,"EMI ₹7,732/m*",₹4.38 lakh
