,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
0,Maruti Alto 800,Maruti,2013,"59,183 km",Petrol,Manual,"EMI ₹8,084/m*",₹1.72 lakh
1,Tata TIGOR,Tata,2018,"60,000 km",Petrol,Manual,"EMI ₹5,737/m*",₹3.25 lakh
2,Hyundai Creta,Hyundai,2018,"77,164 km",Diesel,Manual,"EMI ₹12,871/m*",₹6.58 lakh
3,Mahindra Kuv100,Mahindra,2016,"92,583 km",Diesel,Manual,"EMI ₹6,683/m*",₹2.54 lakh
4,Mahindra Kuv100,Mahindra,2018,"44,360 km",Petrol,Manual,"EMI ₹5,649/m*",₹3.20 lakh
5,Maruti Vitara Brezza,Maruti,2018,"92,123 km",Diesel,Manual,"EMI ₹11,364/m*",₹5.81 lakh
6,Maruti Alto 800,Maruti,2018,"73,600 km",Petrol,Manual,"EMI ₹3,566/m*",₹2.02 lakh
7,Maruti Dzire,Maruti,2018,"1,03,640 km",Diesel,Manual,"EMI ₹9,231/m*",₹4.15 lakh
8,Maruti Dzire,Maruti,2019,"76,870 km",Petrol,Manual,"EMI ₹7,321/m*",₹4.15 lakh
9,Volkswagen Ameo,Volkswagen,2017,"68,386 km",Diesel,Manual,"EMI ₹6,673/m*",₹3.00 lakh
10,Honda Civic,Honda,2019,"26,631 km",Petrol,Auto,"EMI ₹16,266/m*",₹9.50 lakh
11,Datsun Go,Datsun,2015,"30,000 km",Petrol,Manual,"EMI ₹2,844/m*",₹1.08 lakh
12,Toyota Etios,Toyota,2013,"2,33,633 km",Diesel,Manual,"EMI ₹17,859/m*",₹2.01 lakh
13,Maruti Swift,Maruti,2019,"72,828 km",Petrol,Manual,"EMI ₹6,584/m*",₹3.73 lakh
14,Hyundai Verna,Hyundai,2012,"1,55,731 km",Diesel,Manual,"EMI ₹6,584/m*",₹1.83 lakh
15,Tata TIGOR,Tata,2017,"77,000 km",Petrol,Manual,"EMI ₹4,653/m*",₹2.38 lakh
16,Tata Tiago,Tata,2019,"82,203 km",Petrol,Manual,"EMI ₹3,884/m*",₹2.20 lakh
17,Maruti Eeco,Maruti,2023,"63,134 km",Petrol,Manual,"EMI ₹6,161/m*",₹3.49 lakh
18,Maruti Swift,Maruti,2012,"51,449 km",Diesel,Manual,"EMI ₹6,161/m*",₹1.96 lakh
19,Maruti Swift,Maruti,2012,"95,641 km",Diesel,Manual,"EMI ₹6,161/m*",₹2.20 lakh
20,Renault Kwid,Renault,2018,"40,927 km",Petrol,Manual,"EMI ₹3,125/m*",₹1.77 lakh
21,Maruti Swift Dzire,Maruti,2013,"61,591 km",Petrol,Manual,"EMI ₹10,356/m*",₹2.20 lakh
22,Mahindra Thar,Mahindra,2021,"39,177 km",Petrol,Manual,"EMI ₹16,078/m*",₹9.39 lakh
23,Maruti Wagon R 1.0,Maruti,2014,"68,222 km",Petrol,Manual,"EMI ₹6,244/m*",₹1.88 lakh
24,Hyundai Eon,Hyundai,2015,"32,494 km",Petrol,Manual,"EMI ₹4,398/m*",₹1.67 lakh
25,Maruti Swift Dzire,Maruti,2013,"1,13,897 km",Petrol,Manual,"EMI ₹9,462/m*",₹2.01 lakh
26,Maruti Swift,Maruti,2013,"1,89,478 km",Diesel,Manual,"EMI ₹20,435/m*",₹2.30 lakh
27,Maruti Swift Dzire,Maruti,2014,"1,11,693 km",Diesel,Manual,"EMI ₹11,721/m*",₹2.49 lakh
28,Maruti Vitara Brezza,Maruti,2016,"75,779 km",Diesel,Manual,"EMI ₹9,770/m*",₹3.71 lakh
29,Maruti Wagon R 1.0,Maruti,2013,"72,501 km",Petrol,Manual,"EMI ₹7,626/m*",₹1.62 lakh
30,Hyundai Verna,Hyundai,2013,"1,39,497 km",Diesel,Manual,"EMI ₹19,280/m*",₹2.17 lakh
31,Maruti Swift,Maruti,2013,"1,05,754 km",Petrol,Manual,"EMI ₹9,980/m*",₹2.12 lakh
32,Maruti Swift,Maruti,2012,"1,19,457 km",Diesel,Manual,"EMI ₹9,980/m*",₹1.94 lakh
