,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
0,Maruti Celerio,Maruti,2017,"1,06,997 km",Petrol,Auto,"EMI ₹6,675/m*",₹3.00 lakh
1,Maruti Celerio,Maruti,2016,"44,746 km",Petrol,Auto,"EMI ₹6,577/m*",₹2.96 lakh
2,Hyundai i10,Hyundai,2014,"40,603 km",Petrol,Manual,"EMI ₹7,413/m*",₹2.23 lakh
3,Maruti Wagon R 1.0,Maruti,2015,"46,956 km",Petrol,Manual,"EMI ₹7,376/m*",₹2.80 lakh
4,Maruti Ciaz,Maruti,2018,"66,130 km",CNG,Manual,"EMI ₹15,023/m*",₹6.75 lakh
5,Hyundai Grand i10,Hyundai,2014,"90,776 km",Petrol,Manual,"EMI ₹8,292/m*",₹2.50 lakh
6,Tata TIGOR,Tata,2020,"89,732 km",Petrol,Manual,"EMI ₹6,443/m*",₹3.65 lakh
7,Maruti Baleno,Maruti,2016,"77,090 km",Petrol,Manual,"EMI ₹6,789/m*",₹3.05 lakh
8,Hyundai Grand i10,Hyundai,2016,"81,411 km",CNG,Auto,"EMI ₹10,961/m*",₹3.30 lakh
9,Honda Jazz,Honda,2015,"74,952 km",Petrol,Manual,"EMI ₹8,743/m*",₹3.32 lakh
10,Renault Duster,Renault,2018,"77,522 km",Petrol,Manual,"EMI ₹7,414/m*",₹4.20 lakh
11,Honda Jazz,Honda,2016,"66,433 km",Petrol,Manual,"EMI ₹6,678/m*",₹3.00 lakh
12,Hyundai Grand i10,Hyundai,2017,"69,767 km",Petrol,Manual,"EMI ₹6,577/m*",₹3.36 lakh
13,Maruti Alto 800,Maruti,2013,"53,831 km",Petrol,Manual,"EMI ₹7,802/m*",₹1.66 lakh
14,Maruti Swift,Maruti,2016,"1,17,732 km",Petrol,Manual,"EMI ₹7,369/m*",₹3.31 lakh
15,Hyundai i20,Hyundai,2013,"55,859 km",Petrol,Manual,"EMI ₹10,931/m*",₹2.32 lakh
16,Maruti Swift,Maruti,2016,"79,967 km",Petrol,Manual,"EMI ₹7,326/m*",₹3.29 lakh
17,KIA SELTOS,KIA,2020,"70,565 km",Petrol,Manual,"EMI ₹14,417/m*",₹8.42 lakh
18,Skoda Octavia,Skoda,2018,"1,47,902 km",Diesel,Auto,"EMI ₹21,183/m*",₹9.74 lakh
19,Hyundai i10,Hyundai,2012,"1,05,771 km",CNG,Manual,"EMI ₹21,183/m*",₹1.58 lakh
20,Renault Kwid,Renault,2018,"91,230 km",Petrol,Manual,"EMI ₹3,828/m*",₹2.17 lakh
21,Tata ALTROZ,Tata,2022,"29,288 km",CNG,Auto,"EMI ₹11,033/m*",₹6.25 lakh
22,Datsun Redi Go,Datsun,2017,"82,983 km",Petrol,Manual,"EMI ₹2,603/m*",₹1.33 lakh
23,Hyundai Elite i20,Hyundai,2018,"95,311 km",Petrol,Manual,"EMI ₹6,471/m*",₹3.67 lakh
24,MG ASTOR,MG,2023,"48,083 km",Petrol,Manual,"EMI ₹12,302/m*",₹6.97 lakh
25,Tata ALTROZ,Tata,2023,"22,499 km",Petrol,Manual,"EMI ₹11,072/m*",₹6.27 lakh
26,Ford FREESTYLE,Ford,2020,"44,725 km",Petrol,Manual,"EMI ₹7,562/m*",₹4.28 lakh
27,Honda WR-V,Honda,2017,"79,377 km",Petrol,Manual,"EMI ₹7,870/m*",₹4.03 lakh
28,Hyundai i10,Hyundai,2015,"61,002 km",Petrol,Manual,"EMI ₹5,702/m*",₹2.17 lakh
29,Hyundai Grand i10,Hyundai,2018,"68,907 km",Petrol,Manual,"EMI ₹7,075/m*",₹4.01 lakh
