,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
0,Maruti New Wagon-R,Maruti,2019,"74,374 km",Petrol,Manual,"EMI ₹5,719/m*",₹3.24 lakh
1,Maruti Swift Dzire,Maruti,2014,"74,621 km",Petrol,Manual,"EMI ₹8,757/m*",₹2.64 lakh
2,KIA SONET,KIA,2020,"90,869 km",Petrol,Manual,"EMI ₹10,494/m*",₹5.94 lakh
3,Renault Kiger,Renault,2024,"8,350 km",Petrol,Auto,"EMI ₹10,446/m*",₹5.92 lakh
4,MG ASTOR,MG,2023,"48,521 km",Petrol,Auto,"EMI ₹15,858/m*",₹9.26 lakh
5,Mahindra XUV700,Mahindra,2023,"25,176 km",Petrol,Manual,"EMI ₹22,883/m*",₹13.36 lakh
6,Renault Duster,Renault,2021,"47,541 km",Petrol,Auto,"EMI ₹13,409/m*",₹7.60 lakh
7,MG HECTOR,MG,2019,"52,206 km",Petrol,Auto,"EMI ₹17,379/m*",₹10.15 lakh
8,MG HECTOR,MG,2023,"15,809 km",Petrol,Auto,"EMI ₹25,512/m*",₹14.90 lakh
9,KIA SELTOS,KIA,2020,"16,459 km",Petrol,Manual,"EMI ₹16,266/m*",₹9.50 lakh
10,Toyota Fortuner,Toyota,2020,"48,819 km",Diesel,Auto,"EMI ₹71,075/m*",₹27.50 lakh
11,Renault Kiger,Renault,2022,"57,927 km",Petrol,Manual,"EMI ₹6,532/m*",₹3.70 lakh
12,Maruti Vitara Brezza,Maruti,2021,"52,923 km",Petrol,Manual,"EMI ₹8,643/m*",₹4.90 lakh
13,Tata Safari,Tata,2021,"43,449 km",Diesel,Auto,"EMI ₹28,265/m*",₹13.00 lakh
14,Volkswagen VIRTUS,Volkswagen,2022,"47,712 km",Petrol,Manual,"EMI ₹12,198/m*",₹6.91 lakh
15,Renault Kwid,Renault,2017,"75,770 km",Petrol,Manual,"EMI ₹3,128/m*",₹1.60 lakh
16,Maruti Baleno,Maruti,2023,"47,454 km",Petrol,Manual,"EMI ₹8,473/m*",₹4.80 lakh
17,Renault Kwid,Renault,2019,"63,301 km",Petrol,Manual,"EMI ₹3,495/m*",₹1.98 lakh
18,Maruti Swift,Maruti,2016,"48,436 km",Petrol,Manual,"EMI ₹5,806/m*",₹2.61 lakh
19,Nissan MAGNITE,Nissan,2023,"60,570 km",Petrol,Manual,"EMI ₹6,814/m*",₹3.86 lakh
20,Mahindra Thar,Mahindra,2022,"30,690 km",Petrol,Manual,"EMI ₹20,119/m*",₹11.75 lakh
21,Maruti Alto 800,Maruti,2017,"29,630 km",Petrol,Manual,"EMI ₹3,548/m*",₹1.81 lakh
22,Tata Harrier,Tata,2020,"84,776 km",Diesel,Manual,"EMI ₹20,728/m*",₹8.02 lakh
23,Mahindra XUV700,Mahindra,2022,"41,024 km",Petrol,Manual,"EMI ₹23,115/m*",₹13.50 lakh
24,Mahindra Scorpio,Mahindra,2019,"35,267 km",Diesel,Manual,"EMI ₹28,745/m*",₹8.78 lakh
25,Toyota Fortuner,Toyota,2023,"83,352 km",Diesel,Auto,"EMI ₹55,477/m*",₹32.40 lakh
26,Toyota Fortuner,Toyota,2018,"1,58,439 km",Diesel,Manual,"EMI ₹77,276/m*",₹16.58 lakh
27,Hyundai Verna,Hyundai,2019,"51,996 km",Petrol,Auto,"EMI ₹12,304/m*",₹6.97 lakh
28,Tata PUNCH,Tata,2023,"46,004 km",Petrol,Manual,"EMI ₹8,543/m*",₹4.84 lakh
29,Hyundai Creta,Hyundai,2020,"88,094 km",Diesel,Manual,"EMI ₹18,987/m*",₹7.21 lakh
30,Volkswagen Polo,Volkswagen,2021,"58,213 km",Petrol,Manual,"EMI ₹7,997/m*",₹4.53 lakh
31,Hyundai Verna,Hyundai,2018,"52,177 km",Petrol,Manual,"EMI ₹9,568/m*",₹5.42 lakh
