,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
0,Renault Kwid,Renault,2017,"33,082 km",Petrol,Auto,"EMI ₹5,181/m*",₹2.65 lakh
1,Tata NEXON,Tata,2018,"1,08,811 km",Diesel,Manual,"EMI ₹12,234/m*",₹5.50 lakh
2,Tata Tiago,Tata,2023,"31,507 km",Petrol,Manual,"EMI ₹9,353/m*",₹5.30 lakh
3,Honda WR-V,Honda,2018,"50,427 km",Petrol,Manual,"EMI ₹9,628/m*",₹5.45 lakh
4,Maruti New Wagon-R,Maruti,2021,"1,22,230 km",CNG,Manual,"EMI ₹9,120/m*",₹4.10 lakh
5,Ford Figo Aspire,Ford,2018,"44,944 km",Petrol,Auto,"EMI ₹7,414/m*",₹4.20 lakh
6,Honda Jazz,Honda,2016,"62,614 km",Petrol,Manual,"EMI ₹7,563/m*",₹3.40 lakh
7,Maruti Ciaz,Maruti,2017,"89,139 km",Petrol,Manual,"EMI ₹8,430/m*",₹4.31 lakh
8,Hyundai Grand i10,Hyundai,2016,"87,439 km",Petrol,Manual,"EMI ₹7,007/m*",₹3.15 lakh
9,Honda City,Honda,2016,"1,12,545 km",Petrol,Manual,"EMI ₹9,565/m*",₹4.30 lakh
10,Tata ALTROZ,Tata,2020,"68,542 km",Petrol,Manual,"EMI ₹8,209/m*",₹4.65 lakh
11,Volkswagen Polo,Volkswagen,2021,"31,674 km",Petrol,Manual,"EMI ₹10,768/m*",₹6.10 lakh
12,Maruti Swift,Maruti,2020,"49,808 km",Petrol,Manual,"EMI ₹7,795/m*",₹4.42 lakh
13,Renault Kwid,Renault,2020,"55,015 km",Petrol,Auto,"EMI ₹5,415/m*",₹3.07 lakh
14,Toyota Etios,Toyota,2015,"1,09,045 km",Diesel,Manual,"EMI ₹10,801/m*",₹3.25 lakh
15,Renault Kwid,Renault,2022,"31,728 km",Petrol,Manual,"EMI ₹5,447/m*",₹3.09 lakh
16,Maruti Vitara Brezza,Maruti,2021,"33,548 km",Petrol,Manual,"EMI ₹12,357/m*",₹7.00 lakh
17,Hyundai Elite i20,Hyundai,2017,"43,075 km",Petrol,Manual,"EMI ₹6,620/m*",₹3.39 lakh
18,Honda Jazz,Honda,2016,"50,423 km",Petrol,Manual,"EMI ₹7,674/m*",₹3.45 lakh
