,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
0,Tata TIGOR,Tata,2018,"79,067 km",Petrol,Manual,"EMI ₹5,847/m*",₹3.31 lakh
1,Tata Tiago,Tata,2017,"65,432 km",Petrol,Manual,"EMI ₹6,572/m*",₹3.36 lakh
2,Honda City,Honda,2017,"46,585 km",Petrol,Manual,"EMI ₹11,005/m*",₹5.63 lakh
3,Hyundai Xcent,Hyundai,2017,"1,01,762 km",Petrol,Manual,"EMI ₹7,674/m*",₹3.45 lakh
4,Maruti S PRESSO,Maruti,2021,"76,607 km",Petrol,Manual,"EMI ₹5,787/m*",₹3.28 lakh
5,Tata Tiago,Tata,2018,"51,520 km",Petrol,Manual,"EMI ₹6,109/m*",₹3.46 lakh
6,Maruti IGNIS,Maruti,2019,"84,136 km",Petrol,Auto,"EMI ₹7,238/m*",₹4.10 lakh
7,Hyundai VENUE,Hyundai,2020,"1,03,236 km",Petrol,Manual,"EMI ₹10,900/m*",₹4.90 lakh
8,Hyundai Elite i20,Hyundai,2017,"93,604 km",Petrol,Manual,"EMI ₹8,010/m*",₹4.10 lakh
9,Tata TIGOR,Tata,2019,"60,400 km",Petrol,Manual,"EMI ₹6,267/m*",₹3.55 lakh
10,Tata Hexa,Tata,2017,"57,257 km",Diesel,Auto,"EMI ₹14,090/m*",₹6.33 lakh
11,Ford FREESTYLE,Ford,2018,"1,30,602 km",Diesel,Manual,"EMI ₹7,452/m*",₹3.35 lakh
12,Volkswagen Polo,Volkswagen,2019,"1,03,074 km",Petrol,Auto,"EMI ₹11,514/m*",₹5.18 lakh
13,Hyundai Grand i10,Hyundai,2020,"13,254 km",Petrol,Manual,"EMI ₹7,238/m*",₹4.10 lakh
14,Renault Kiger,Renault,2022,"74,623 km",Petrol,Manual,"EMI ₹8,563/m*",₹4.85 lakh
15,Mahindra KUV 100 NXT,Mahindra,2018,"63,047 km",Petrol,Manual,"EMI ₹5,208/m*",₹2.95 lakh
16,Hyundai Elite i20,Hyundai,2019,"85,850 km",Petrol,Manual,"EMI ₹7,577/m*",₹4.29 lakh
17,Maruti Alto 800,Maruti,2016,"55,877 km",Petrol,Manual,"EMI ₹4,427/m*",₹1.99 lakh
18,Honda WR-V,Honda,2017,"1,46,319 km",Petrol,Manual,"EMI ₹8,125/m*",₹3.65 lakh
19,Skoda SLAVIA,Skoda,2022,"51,064 km",Petrol,Manual,"EMI ₹14,642/m*",₹8.55 lakh
20,Mahindra Thar,Mahindra,2021,"60,890 km",Diesel,Auto,"EMI ₹17,037/m*",₹9.95 lakh
21,Volkswagen Polo,Volkswagen,2020,"70,362 km",Petrol,Manual,"EMI ₹6,720/m*",₹3.81 lakh
22,Nissan MAGNITE,Nissan,2024,"15,036 km",Petrol,Auto,"EMI ₹8,826/m*",₹5.00 lakh
23,Nissan MAGNITE,Nissan,2023,"27,930 km",Petrol,Manual,"EMI ₹8,826/m*",₹5.00 lakh
24,Maruti Swift,Maruti,2023,"44,029 km",Petrol,Manual,"EMI ₹11,827/m*",₹6.70 lakh
25,Maruti Baleno,Maruti,2016,"53,335 km",Petrol,Auto,"EMI ₹7,613/m*",₹3.42 lakh
26,Maruti Alto K10,Maruti,2018,"61,893 km",Petrol,Manual,"EMI ₹4,977/m*",₹2.82 lakh
27,Maruti Baleno,Maruti,2017,"96,493 km",Petrol,Auto,"EMI ₹7,722/m*",₹3.95 lakh
28,KIA CARENS,KIA,2024,"20,724 km",Petrol,Manual,"EMI ₹16,181/m*",₹9.45 lakh
29,Hyundai VENUE,Hyundai,2019,"78,033 km",Petrol,Auto,"EMI ₹10,771/m*",₹6.10 lakh
30,Tata TIGOR,Tata,2021,"23,482 km",Petrol,Manual,"EMI ₹6,796/m*",₹3.85 lakh
31,Maruti Alto,Maruti,2021,"74,768 km",CNG,Manual,"EMI ₹5,208/m*",₹2.95 lakh
32,Volkswagen Ameo,Volkswagen,2019,"49,461 km",Diesel,Manual,"EMI ₹8,120/m*",₹4.60 lakh
33,Hyundai AURA,Hyundai,2022,"45,032 km",Petrol,Manual,"EMI ₹10,150/m*",₹5.75 lakh
34,Volkswagen Ameo,Volkswagen,2016,"79,717 km",Petrol,Manual,"EMI ₹6,518/m*",₹2.93 lakh
35,Honda City,Honda,2019,"34,159 km",Petrol,Manual,"EMI ₹9,797/m*",₹5.55 lakh
36,Renault TRIBER,Renault,2022,"72,311 km",Petrol,Manual,"EMI ₹7,497/m*",₹4.25 lakh
