,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
0,Maruti Alto 800,Maruti,2018,"47,656 km",Petrol,Manual,"EMI ₹4,565/m*",₹2.59 lakh
1,MG HECTOR PLUS,MG,2020,"42,482 km",Petrol,Manual,"EMI ₹18,681/m*",₹10.91 lakh
2,Datsun Redi Go,Datsun,2017,"63,316 km",Petrol,Manual,"EMI ₹2,990/m*",₹1.53 lakh
3,Hyundai Grand i10,Hyundai,2016,"44,448 km",Petrol,Manual,"EMI ₹6,678/m*",₹3.00 lakh
4,MG HECTOR,MG,2021,"90,805 km",Diesel,Manual,"EMI ₹17,705/m*",₹10.34 lakh
5,Hyundai Grand i10,Hyundai,2016,"80,233 km",Petrol,Manual,"EMI ₹6,206/m*",₹2.79 lakh
6,Tata ALTROZ,Tata,2020,"72,750 km",Petrol,Manual,"EMI ₹6,802/m*",₹3.85 lakh
7,Renault Kwid,Renault,2021,"59,337 km",Petrol,Manual,"EMI ₹5,384/m*",₹3.05 lakh
8,Honda Amaze,Honda,2016,"63,272 km",Petrol,Manual,"EMI ₹8,246/m*",₹3.71 lakh
9,Hyundai Xcent,Hyundai,2014,"94,087 km",Petrol,Manual,"EMI ₹7,573/m*",₹2.28 lakh
10,Renault Kwid,Renault,2015,"1,08,555 km",Petrol,Manual,"EMI ₹3,008/m*",₹1.14 lakh
11,Hyundai Creta,Hyundai,2017,"1,25,870 km",Petrol,Manual,"EMI ₹12,457/m*",₹5.60 lakh
12,Nissan Micra Active,Nissan,2013,"1,36,687 km",Petrol,Manual,"EMI ₹8,291/m*",₹1.76 lakh
13,Tata Tiago,Tata,2023,"8,625 km",Petrol,Manual,"EMI ₹7,026/m*",₹3.98 lakh
14,Hyundai Eon,Hyundai,2015,"66,389 km",Petrol,Manual,"EMI ₹2,897/m*",₹1.10 lakh
15,Datsun Redi Go,Datsun,2018,"49,663 km",Petrol,Auto,"EMI ₹3,548/m*",₹2.01 lakh
16,Datsun Redi Go,Datsun,2019,"64,501 km",Petrol,Manual,"EMI ₹2,207/m*",₹1.25 lakh
17,Maruti Celerio,Maruti,2016,"60,116 km",Petrol,Manual,"EMI ₹6,451/m*",₹2.90 lakh
18,Renault Duster,Renault,2014,"76,863 km",Diesel,Manual,"EMI ₹17,935/m*",₹3.81 lakh
19,Ford FREESTYLE,Ford,2019,"1,34,993 km",Diesel,Manual,"EMI ₹10,366/m*",₹4.66 lakh
20,Nissan Sunny,Nissan,2013,"30,075 km",Petrol,Manual,"EMI ₹8,803/m*",₹1.87 lakh
21,Renault Kwid,Renault,2016,"32,225 km",Petrol,Manual,"EMI ₹4,894/m*",₹2.20 lakh
22,Nissan Kicks,Nissan,2020,"38,663 km",Petrol,Manual,"EMI ₹13,240/m*",₹7.50 lakh
23,Maruti S PRESSO,Maruti,2021,"57,016 km",Petrol,Manual,"EMI ₹4,678/m*",₹2.65 lakh
24,Honda City,Honda,2016,"1,42,290 km",Petrol,Auto,"EMI ₹11,790/m*",₹5.30 lakh
25,Renault Duster,Renault,2013,"81,336 km",Diesel,Manual,"EMI ₹24,167/m*",₹2.72 lakh
26,Volkswagen Polo,Volkswagen,2012,"1,28,734 km",Diesel,Manual,"EMI ₹24,167/m*",₹1.91 lakh
27,Ford FREESTYLE,Ford,2019,"92,867 km",Petrol,Manual,"EMI ₹6,902/m*",₹3.91 lakh
28,Honda Jazz,Honda,2017,"1,16,273 km",Petrol,Manual,"EMI ₹7,830/m*",₹3.52 lakh
29,Tata Tiago,Tata,2023,"29,883 km",Petrol,Manual,"EMI ₹8,050/m*",₹4.56 lakh
30,Renault Kwid,Renault,2017,"43,552 km",Petrol,Manual,"EMI ₹3,734/m*",₹1.91 lakh
31,Hyundai VENUE,Hyundai,2020,"78,987 km",Petrol,Manual,"EMI ₹10,080/m*",₹5.71 lakh
32,Datsun Redi Go,Datsun,2018,"85,983 km",Petrol,Manual,"EMI ₹2,630/m*",₹1.49 lakh
33,Hyundai Xcent,Hyundai,2014,"77,381 km",Petrol,Manual,"EMI ₹6,743/m*",₹2.03 lakh
