,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
0,Maruti Alto K10,Maruti,2018,"46,484 km",Petrol,Manual,"EMI ₹4,596/m*",₹2.60 lakh
1,Tata Harrier,Tata,2020,"73,584 km",Diesel,Manual,"EMI ₹20,341/m*",₹11.88 lakh
2,Maruti Celerio,Maruti,2016,"1,34,515 km",Petrol,Manual,"EMI ₹4,791/m*",₹2.15 lakh
3,Honda Amaze,Honda,2019,"33,734 km",Petrol,Manual,"EMI ₹7,810/m*",₹4.42 lakh
4,Nissan MAGNITE,Nissan,2021,"57,284 km",Petrol,Manual,"EMI ₹7,719/m*",₹4.37 lakh
5,MG ASTOR,MG,2023,"59,431 km",Petrol,Manual,"EMI ₹11,456/m*",₹6.49 lakh
6,Tata NEXON,Tata,2021,"1,22,091 km",Petrol,Manual,"EMI ₹15,571/m*",₹7.00 lakh
7,Toyota Urban Cruiser Taisor,Toyota,2024,"9,383 km",Petrol,Auto,"EMI ₹16,609/m*",₹9.70 lakh
8,Maruti Wagon R 1.0,Maruti,2013,"74,525 km",CNG,Manual,"EMI ₹16,609/m*",₹1.91 lakh
9,Tata NEXON,Tata,2023,"71,698 km",Diesel,Manual,"EMI ₹16,780/m*",₹9.80 lakh
10,Hyundai Creta,Hyundai,2021,"27,201 km",Petrol,Manual,"EMI ₹17,203/m*",₹10.05 lakh
11,Skoda KUSHAQ,Skoda,2022,"29,310 km",Petrol,Auto,"EMI ₹18,797/m*",₹10.98 lakh
12,Mahindra Thar,Mahindra,2023,"82,278 km",Diesel,Manual,"EMI ₹18,578/m*",₹10.85 lakh
13,Hyundai Elite i20,Hyundai,2019,"64,596 km",Petrol,Manual,"EMI ₹6,620/m*",₹3.75 lakh
14,Renault Kiger,Renault,2022,"58,045 km",Petrol,Manual,"EMI ₹9,974/m*",₹5.65 lakh
15,Hyundai i10,Hyundai,2014,"39,040 km",Petrol,Manual,"EMI ₹6,085/m*",₹1.83 lakh
16,Maruti Vitara Brezza,Maruti,2020,"33,233 km",Petrol,Manual,"EMI ₹8,752/m*",₹4.96 lakh
17,Hyundai Verna,Hyundai,2019,"67,455 km",Diesel,Manual,"EMI ₹12,357/m*",₹7.00 lakh
18,Nissan MAGNITE,Nissan,2021,"59,274 km",Petrol,Manual,"EMI ₹7,061/m*",₹4.00 lakh
19,Renault Kwid,Renault,2020,"97,788 km",Petrol,Manual,"EMI ₹3,490/m*",₹1.98 lakh
20,Renault Kwid,Renault,2020,"51,299 km",Petrol,Manual,"EMI ₹3,884/m*",₹2.20 lakh
21,Nissan Kicks,Nissan,2021,"48,055 km",Petrol,Auto,"EMI ₹13,240/m*",₹7.50 lakh
22,KIA CARENS,KIA,2022,"35,514 km",Petrol,Manual,"EMI ₹14,476/m*",₹8.45 lakh
23,Tata Tiago,Tata,2018,"38,194 km",Petrol,Manual,"EMI ₹4,939/m*",₹2.80 lakh
24,Tata NEXON,Tata,2024,"88,371 km",CNG,Manual,"EMI ₹12,269/m*",₹6.95 lakh
25,Mahindra Scorpio,Mahindra,2019,"57,161 km",Diesel,Manual,"EMI ₹13,955/m*",₹8.15 lakh
26,Maruti Alto K10,Maruti,2019,"55,599 km",Petrol,Manual,"EMI ₹4,844/m*",₹2.74 lakh
27,Mahindra Bolero,Mahindra,2020,"92,722 km",Diesel,Manual,"EMI ₹10,239/m*",₹5.80 lakh
28,Hyundai Elite i20,Hyundai,2019,"94,878 km",Diesel,Manual,"EMI ₹7,238/m*",₹4.10 lakh
29,Tata PUNCH,Tata,2023,"40,387 km",Petrol,Manual,"EMI ₹10,286/m*",₹5.83 lakh
30,Hyundai Creta,Hyundai,2017,"64,079 km",Diesel,Manual,"EMI ₹13,452/m*",₹6.05 lakh
31,Renault Kwid,Renault,2016,"56,486 km",Petrol,Manual,"EMI ₹4,053/m*",₹1.82 lakh
32,Maruti Baleno,Maruti,2020,"1,10,260 km",Petrol,Manual,"EMI ₹8,787/m*",₹3.95 lakh
33,Hyundai Verna,Hyundai,2021,"73,833 km",Petrol,Manual,"EMI ₹14,101/m*",₹7.99 lakh
34,KIA SELTOS,KIA,2022,"94,697 km",Petrol,Manual,"EMI ₹15,353/m*",₹8.97 lakh
35,Toyota Fortuner,Toyota,2018,"1,38,526 km",Diesel,Manual,"EMI ₹37,614/m*",₹17.30 lakh
36,Mahindra XUV300,Mahindra,2019,"84,136 km",Diesel,Manual,"EMI ₹8,826/m*",₹5.00 lakh
37,Mahindra XUV500,Mahindra,2020,"1,11,960 km",Diesel,Manual,"EMI ₹14,228/m*",₹6.40 lakh
38,Maruti Wagon R 1.0,Maruti,2017,"30,550 km",Petrol,Manual,"EMI ₹5,471/m*",₹2.80 lakh
39,Tata Zest,Tata,2017,"70,061 km",CNG,Manual,"EMI ₹6,420/m*",₹2.44 lakh
40,Hyundai Grand i10,Hyundai,2013,"81,992 km",Petrol,Manual,"EMI ₹7,934/m*",₹1.69 lakh
41,Maruti Swift,Maruti,2015,"79,433 km",Diesel,Manual,"EMI ₹9,400/m*",₹2.83 lakh
42,Hyundai i10,Hyundai,2013,"34,407 km",Petrol,Manual,"EMI ₹7,249/m*",₹1.54 lakh
43,Nissan MAGNITE,Nissan,2021,"54,497 km",Petrol,Manual,"EMI ₹7,414/m*",₹4.20 lakh
44,Mahindra KUV 100 NXT,Mahindra,2017,"98,096 km",Diesel,Manual,"EMI ₹5,633/m*",₹2.53 lakh
45,Maruti Wagon R 1.0,Maruti,2013,"18,557 km",Petrol,Manual,"EMI ₹9,838/m*",₹2.09 lakh
46,Maruti Dzire,Maruti,2019,"70,824 km",Petrol,Manual,"EMI ₹8,209/m*",₹4.65 lakh
47,Maruti Dzire,Maruti,2023,"68,546 km",Petrol,Auto,"EMI ₹10,415/m*",₹5.90 lakh
48,Maruti Swift Dzire,Maruti,2013,"91,432 km",Petrol,Manual,"EMI ₹10,760/m*",₹2.29 lakh
49,Hyundai GRAND I10 NIOS,Hyundai,2022,"71,430 km",CNG,Manual,"EMI ₹8,473/m*",₹4.80 lakh
50,Tata TIGOR,Tata,2021,"40,862 km",Petrol,Manual,"EMI ₹8,205/m*",₹4.65 lakh
51,Maruti Alto 800,Maruti,2015,"39,084 km",Petrol,Manual,"EMI ₹4,450/m*",₹1.69 lakh
52,Tata Tiago,Tata,2023,"16,043 km",CNG,Manual,"EMI ₹9,273/m*",₹5.25 lakh
53,Maruti Swift,Maruti,2015,"37,162 km",Petrol,Manual,"EMI ₹7,499/m*",₹2.85 lakh
54,Maruti Baleno,Maruti,2017,"1,11,080 km",Petrol,Manual,"EMI ₹7,897/m*",₹3.55 lakh
55,Renault Kiger,Renault,2021,"88,074 km",Petrol,Manual,"EMI ₹8,492/m*",₹4.81 lakh
56,Tata Tiago,Tata,2017,"54,944 km",Petrol,Manual,"EMI ₹5,104/m*",₹2.61 lakh
57,Hyundai Elite i20,Hyundai,2015,"98,620 km",Petrol,Manual,"EMI ₹8,037/m*",₹3.05 lakh
58,Jeep Compass,Jeep,2018,"90,015 km",Petrol,Auto,"EMI ₹11,457/m*",₹6.49 lakh
59,Maruti Swift Dzire,Maruti,2017,"61,200 km",Petrol,Manual,"EMI ₹7,751/m*",₹3.96 lakh
60,Honda City,Honda,2021,"95,752 km",Petrol,Auto,"EMI ₹13,946/m*",₹7.90 lakh
61,Hyundai Grand i10,Hyundai,2019,"21,783 km",Petrol,Manual,"EMI ₹6,178/m*",₹3.50 lakh
62,Toyota Etios Liva,Toyota,2013,"1,27,795 km",Diesel,Manual,"EMI ₹19,101/m*",₹2.15 lakh
63,Hyundai Grand i10,Hyundai,2018,"95,648 km",Petrol,Manual,"EMI ₹5,472/m*",₹3.10 lakh
64,Hyundai Grand i10,Hyundai,2017,"71,876 km",Petrol,Manual,"EMI ₹6,745/m*",₹3.45 lakh
65,Maruti IGNIS,Maruti,2023,"10,586 km",Petrol,Manual,"EMI ₹7,879/m*",₹4.46 lakh
66,Hyundai Eon,Hyundai,2018,"72,447 km",Petrol,Manual,"EMI ₹3,652/m*",₹2.07 lakh
67,Maruti Grand Vitara,Maruti,2022,"21,633 km",Petrol,Manual,"EMI ₹19,326/m*",₹11.29 lakh
68,Nissan MAGNITE,Nissan,2020,"35,638 km",Petrol,Manual,"EMI ₹8,563/m*",₹4.85 lakh
69,Maruti Celerio,Maruti,2016,"31,491 km",Petrol,Auto,"EMI ₹6,228/m*",₹2.80 lakh
70,Hyundai NEW SANTRO,Hyundai,2022,"23,104 km",Petrol,Manual,"EMI ₹6,796/m*",₹3.85 lakh
71,Honda Amaze,Honda,2016,"67,524 km",Petrol,Manual,"EMI ₹7,092/m*",₹3.19 lakh
72,Mahindra KUV 100 NXT,Mahindra,2017,"84,353 km",Diesel,Manual,"EMI ₹7,012/m*",₹3.15 lakh
73,Mahindra XUV500,Mahindra,2017,"99,718 km",Diesel,Manual,"EMI ₹11,324/m*",₹5.09 lakh
74,Maruti Alto 800,Maruti,2017,"17,341 km",Petrol,Manual,"EMI ₹4,203/m*",₹2.15 lakh
75,Hyundai Grand i10,Hyundai,2014,"63,329 km",Petrol,Manual,"EMI ₹7,141/m*",₹2.15 lakh
76,Hyundai Grand i10,Hyundai,2018,"77,374 km",Petrol,Manual,"EMI ₹5,737/m*",₹3.25 lakh
77,Maruti Alto 800,Maruti,2018,"49,031 km",Petrol,Manual,"EMI ₹4,057/m*",₹2.30 lakh
78,MG HECTOR,MG,2021,"90,022 km",Diesel,Manual,"EMI ₹14,118/m*",₹8.00 lakh
79,Hyundai Creta,Hyundai,2021,"59,578 km",Diesel,Auto,"EMI ₹19,691/m*",₹11.50 lakh
80,Maruti Swift Dzire,Maruti,2014,"52,245 km",Petrol,Manual,"EMI ₹9,471/m*",₹2.85 lakh
81,Honda Amaze,Honda,2017,"28,471 km",Petrol,Manual,"EMI ₹6,843/m*",₹3.50 lakh
82,Maruti Baleno,Maruti,2019,"30,401 km",Petrol,Manual,"EMI ₹8,297/m*",₹4.70 lakh
83,Maruti Wagon R 1.0,Maruti,2013,"39,024 km",Petrol,Manual,"EMI ₹9,650/m*",₹2.05 lakh
84,Toyota Innova Crysta,Toyota,2021,"1,02,341 km",Diesel,Manual,"EMI ₹45,550/m*",₹20.95 lakh
85,KIA CARENS,KIA,2022,"29,070 km",Petrol,Manual,"EMI ₹20,637/m*",₹12.05 lakh
86,Tata NEXON,Tata,2024,"10,480 km",Petrol,Auto,"EMI ₹16,193/m*",₹9.46 lakh
87,Toyota URBAN CRUISER HYRYDER,Toyota,2023,"28,770 km",Petrol,Auto,"EMI ₹20,889/m*",₹12.20 lakh
88,Renault Kwid,Renault,2022,"49,984 km",Petrol,Auto,"EMI ₹6,090/m*",₹3.45 lakh
89,Maruti Swift,Maruti,2022,"61,509 km",Petrol,Auto,"EMI ₹11,651/m*",₹6.60 lakh
90,Tata NEXON,Tata,2022,"60,449 km",Petrol,Manual,"EMI ₹12,622/m*",₹7.15 lakh
91,Nissan MAGNITE,Nissan,2021,"25,867 km",Petrol,Manual,"EMI ₹9,375/m*",₹5.31 lakh
92,Honda WR-V,Honda,2017,"97,195 km",Diesel,Manual,"EMI ₹10,010/m*",₹4.50 lakh
93,Honda BR-V,Honda,2016,"56,981 km",Diesel,Manual,"EMI ₹11,324/m*",₹4.30 lakh
94,Renault Kwid,Renault,2022,"20,835 km",Petrol,Auto,"EMI ₹6,973/m*",₹3.95 lakh
95,Maruti New Wagon-R,Maruti,2023,"37,857 km",Petrol,Manual,"EMI ₹7,767/m*",₹4.40 lakh
96,KIA SONET,KIA,2025,"6,189 km",Petrol,Auto,"EMI ₹18,321/m*",₹10.70 lakh
97,Jeep Compass,Jeep,2019,"63,948 km",Petrol,Auto,"EMI ₹12,972/m*",₹7.35 lakh
98,Maruti New Wagon-R,Maruti,2021,"53,245 km",Petrol,Manual,"EMI ₹7,149/m*",₹4.05 lakh
