,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
0,Renault Fluence,Renault,2012,"2,30,179 km",Diesel,Manual,"EMI ₹11,338/m*",₹1.60 lakh
1,KIA SONET,KIA,2021,"61,710 km",Petrol,Manual,"EMI ₹9,003/m*",₹5.10 lakh
2,Mahindra KUV 100 NXT,Mahindra,2018,"73,442 km",Diesel,Manual,"EMI ₹4,555/m*",₹2.33 lakh
3,Maruti Swift,Maruti,2012,"2,28,793 km",Diesel,Manual,"EMI ₹4,555/m*",₹1.88 lakh
4,Tata Tiago,Tata,2017,"1,00,940 km",Diesel,Manual,"EMI ₹4,382/m*",₹1.97 lakh
5,Renault Duster,Renault,2014,"1,32,970 km",Diesel,Manual,"EMI ₹10,780/m*",₹2.29 lakh
6,Hyundai Grand i10,Hyundai,2014,"1,22,180 km",Diesel,Manual,"EMI ₹7,626/m*",₹1.62 lakh
7,Volkswagen Ameo,Volkswagen,2017,"80,129 km",Diesel,Auto,"EMI ₹6,896/m*",₹3.10 lakh
8,Maruti Baleno,Maruti,2016,"25,024 km",Petrol,Manual,"EMI ₹7,697/m*",₹3.46 lakh
9,Hyundai Verna,Hyundai,2012,"1,23,721 km",Diesel,Manual,"EMI ₹7,697/m*",₹2.85 lakh
10,Maruti Swift Dzire,Maruti,2012,"1,36,701 km",Diesel,Manual,"EMI ₹7,697/m*",₹2.22 lakh
11,Toyota Etios,Toyota,2013,"1,59,607 km",Diesel,Manual,"EMI ₹22,034/m*",₹2.48 lakh
12,Hyundai Elite i20,Hyundai,2015,"86,970 km",Petrol,Manual,"EMI ₹8,716/m*",₹3.31 lakh
13,Maruti Ciaz,Maruti,2018,"74,303 km",Diesel,Manual,"EMI ₹8,798/m*",₹4.50 lakh
14,Skoda Rapid,Skoda,2012,"99,995 km",Diesel,Manual,"EMI ₹8,798/m*",₹1.74 lakh
