,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
0,Maruti Swift Dzire,Maruti,2016,"95,523 km",Diesel,Manual,"EMI ₹6,636/m*",₹2.52 lakh
1,Tata NEXON,Tata,2025,"3,580 km",Petrol,Auto,"EMI ₹23,201/m*",₹13.55 lakh
2,Maruti Alto 800,Maruti,2014,"83,959 km",Petrol,Manual,"EMI ₹6,311/m*",₹1.90 lakh
3,Hyundai Eon,Hyundai,2015,"25,925 km",Petrol,Manual,"EMI ₹6,004/m*",₹2.28 lakh
4,Honda Amaze,Honda,2015,"1,99,432 km",Petrol,Manual,"EMI ₹6,057/m*",₹2.30 lakh
5,Tata NEXON,Tata,2019,"1,37,815 km",Petrol,Manual,"EMI ₹12,012/m*",₹5.40 lakh
6,Mahindra XUV500,Mahindra,2015,"46,300 km",Diesel,Manual,"EMI ₹15,744/m*",₹4.74 lakh
7,Chevrolet Sail,Chevrolet,2014,"1,10,174 km",Petrol,Manual,"EMI ₹4,351/m*",₹1.31 lakh
8,Tata Nano,Tata,2011,"44,875 km",Petrol,Manual,"EMI ₹4,351/m*",₹0.31 lakh
9,Honda Amaze,Honda,2021,"48,002 km",Petrol,Manual,"EMI ₹10,856/m*",₹6.15 lakh
10,Maruti S PRESSO,Maruti,2021,"26,822 km",Petrol,Manual,"EMI ₹7,132/m*",₹4.04 lakh
11,Maruti Dzire,Maruti,2019,"1,29,297 km",Diesel,Manual,"EMI ₹10,010/m*",₹4.50 lakh
12,Maruti Alto K10,Maruti,2013,"72,901 km",Petrol,Manual,"EMI ₹7,249/m*",₹1.54 lakh
13,Maruti Swift,Maruti,2016,"48,200 km",Petrol,Manual,"EMI ₹7,385/m*",₹3.32 lakh
14,Maruti Swift Dzire,Maruti,2016,"1,20,767 km",Diesel,Manual,"EMI ₹7,584/m*",₹2.88 lakh
15,Maruti Alto K10,Maruti,2014,"24,840 km",Petrol,Manual,"EMI ₹6,311/m*",₹1.90 lakh
16,Datsun Go,Datsun,2014,"93,291 km",Petrol,Manual,"EMI ₹4,650/m*",₹1.40 lakh
17,Hyundai VENUE,Hyundai,2019,"18,235 km",Petrol,Manual,"EMI ₹12,357/m*",₹7.00 lakh
18,Hyundai i20,Hyundai,2012,"53,431 km",Petrol,Manual,"EMI ₹19,191/m*",₹2.16 lakh
19,Maruti Alto 800,Maruti,2012,"29,897 km",Petrol,Manual,"EMI ₹14,216/m*",₹1.60 lakh
20,Hyundai i10,Hyundai,2012,"22,802 km",Petrol,Manual,"EMI ₹15,815/m*",₹1.78 lakh
21,Tata NEXON,Tata,2025,"14,243 km",Petrol,Manual,"EMI ₹20,547/m*",₹12.00 lakh
22,Hyundai i10,Hyundai,2012,"60,688 km",Petrol,Auto,"EMI ₹17,414/m*",₹1.96 lakh
23,Hyundai i10,Hyundai,2012,"53,941 km",Petrol,Manual,"EMI ₹14,038/m*",₹1.58 lakh
24,Maruti Wagon R 1.0,Maruti,2013,"82,334 km",Petrol,Manual,"EMI ₹9,415/m*",₹2.00 lakh
25,Maruti Eeco,Maruti,2023,"3,641 km",Petrol,Manual,"EMI ₹9,709/m*",₹5.50 lakh
26,Hyundai i10,Hyundai,2012,"79,066 km",Petrol,Auto,"EMI ₹13,860/m*",₹1.56 lakh
27,Nissan MAGNITE,Nissan,2023,"39,582 km",Petrol,Manual,"EMI ₹9,038/m*",₹5.12 lakh
28,Maruti Alto 800,Maruti,2016,"49,156 km",Petrol,Manual,"EMI ₹4,246/m*",₹1.91 lakh
29,Maruti New Wagon-R,Maruti,2024,"35,033 km",Petrol,Manual,"EMI ₹9,886/m*",₹5.60 lakh
30,Hyundai i10,Hyundai,2012,"78,744 km",Petrol,Manual,"EMI ₹17,770/m*",₹2.00 lakh
31,Hyundai Santro Xing,Hyundai,2011,"90,143 km",Petrol,Manual,"EMI ₹17,770/m*",₹1.15 lakh
32,Hyundai Verna,Hyundai,2012,"99,999 km",Diesel,Manual,"EMI ₹17,770/m*",₹2.95 lakh
33,Renault Duster,Renault,2014,"1,17,605 km",Diesel,Manual,"EMI ₹12,945/m*",₹2.75 lakh
34,Volkswagen Polo,Volkswagen,2015,"1,00,800 km",Diesel,Manual,"EMI ₹9,964/m*",₹3.00 lakh
35,Hyundai Verna,Hyundai,2012,"75,046 km",Petrol,Manual,"EMI ₹20,613/m*",₹2.32 lakh
36,Tata Tiago,Tata,2025,"3,647 km",Petrol,Manual,"EMI ₹9,603/m*",₹5.44 lakh
37,Renault Kwid,Renault,2017,"82,913 km",Petrol,Manual,"EMI ₹4,301/m*",₹2.20 lakh
38,Toyota Etios,Toyota,2013,"1,31,857 km",Diesel,Manual,"EMI ₹22,212/m*",₹2.50 lakh
39,Mahindra XUV500,Mahindra,2014,"90,092 km",Diesel,Manual,"EMI ₹17,464/m*",₹3.71 lakh
40,Volkswagen Polo,Volkswagen,2011,"43,938 km",Petrol,Manual,"EMI ₹17,464/m*",₹1.45 lakh
41,Hyundai Eon,Hyundai,2012,"38,389 km",Petrol,Manual,"EMI ₹13,061/m*",₹1.47 lakh
42,Maruti Swift,Maruti,2012,"92,537 km",Diesel,Manual,"EMI ₹13,061/m*",₹2.92 lakh
43,Honda Brio,Honda,2013,"28,192 km",Petrol,Manual,"EMI ₹8,473/m*",₹1.80 lakh
44,Volkswagen Polo,Volkswagen,2013,"1,00,000 km",Diesel,Manual,"EMI ₹18,658/m*",₹2.10 lakh
45,Hyundai Eon,Hyundai,2012,"52,225 km",Petrol,Manual,"EMI ₹12,883/m*",₹1.45 lakh
46,Maruti Swift Dzire,Maruti,2012,"93,845 km",Petrol,Manual,"EMI ₹20,435/m*",₹2.30 lakh
47,Hyundai Elite i20,Hyundai,2014,"1,81,173 km",Petrol,Manual,"EMI ₹9,964/m*",₹3.00 lakh
48,Mahindra XUV300,Mahindra,2020,"52,753 km",Diesel,Manual,"EMI ₹11,245/m*",₹6.37 lakh
49,Maruti Wagon R 1.0,Maruti,2013,"62,900 km",Petrol,Manual,"EMI ₹10,027/m*",₹2.13 lakh
50,Maruti Wagon R 1.0,Maruti,2013,"74,659 km",Petrol,Manual,"EMI ₹8,238/m*",₹1.75 lakh
51,Hyundai Elite i20,Hyundai,2017,"58,406 km",Petrol,Manual,"EMI ₹7,976/m*",₹4.08 lakh
52,Volkswagen Vento,Volkswagen,2013,"1,77,450 km",Diesel,Manual,"EMI ₹23,101/m*",₹2.60 lakh
53,Skoda Superb,Skoda,2011,"95,088 km",Petrol,Auto,"EMI ₹23,101/m*",₹2.22 lakh
