,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
0,Maruti Ertiga,Maruti,2019,"92,458 km",Petrol,Manual,"EMI ₹12,354/m*",₹7.00 lakh
1,Hyundai i10,Hyundai,2016,"36,455 km",Petrol,Manual,"EMI ₹4,998/m*",₹2.25 lakh
2,Maruti Celerio,Maruti,2016,"52,386 km",Petrol,Auto,"EMI ₹6,031/m*",₹2.71 lakh
3,Maruti Swift,Maruti,2016,"22,772 km",Petrol,Manual,"EMI ₹7,765/m*",₹3.49 lakh
4,Tata Tiago,Tata,2018,"53,495 km",Petrol,Manual,"EMI ₹4,536/m*",₹2.57 lakh
5,Tata NEXON,Tata,2023,"16,636 km",Petrol,Manual,"EMI ₹18,939/m*",₹11.06 lakh
6,Ford FREESTYLE,Ford,2019,"27,488 km",Petrol,Manual,"EMI ₹6,626/m*",₹3.75 lakh
7,Maruti S Cross,Maruti,2021,"28,379 km",Petrol,Manual,"EMI ₹11,518/m*",₹6.52 lakh
8,KIA SELTOS,KIA,2021,"71,330 km",Petrol,Auto,"EMI ₹20,119/m*",₹11.75 lakh
9,Maruti Dzire,Maruti,2019,"30,100 km",Petrol,Manual,"EMI ₹8,412/m*",₹4.77 lakh
10,Hyundai GRAND I10 NIOS,Hyundai,2022,"19,850 km",Petrol,Manual,"EMI ₹7,967/m*",₹4.51 lakh
11,Maruti Swift,Maruti,2018,"33,345 km",Petrol,Manual,"EMI ₹8,385/m*",₹4.75 lakh
12,Honda WR-V,Honda,2017,"73,513 km",Diesel,Manual,"EMI ₹11,351/m*",₹5.10 lakh
13,Honda Amaze,Honda,2024,"19,948 km",Petrol,Manual,"EMI ₹12,127/m*",₹6.87 lakh
14,Mahindra Scorpio,Mahindra,2021,"59,447 km",Diesel,Manual,"EMI ₹18,820/m*",₹10.99 lakh
15,KIA SONET,KIA,2020,"38,690 km",Petrol,Manual,"EMI ₹11,162/m*",₹6.32 lakh
16,Hyundai Elite i20,Hyundai,2019,"35,356 km",Petrol,Manual,"EMI ₹6,992/m*",₹3.96 lakh
17,Maruti Alto 800,Maruti,2018,"80,610 km",Petrol,Manual,"EMI ₹2,698/m*",₹1.53 lakh
18,Maruti Alto K10,Maruti,2019,"35,115 km",Petrol,Manual,"EMI ₹4,524/m*",₹2.56 lakh
19,KIA SONET,KIA,2021,"60,670 km",Petrol,Manual,"EMI ₹13,484/m*",₹7.64 lakh
20,Maruti IGNIS,Maruti,2022,"29,636 km",Petrol,Manual,"EMI ₹7,706/m*",₹4.37 lakh
21,Hyundai GRAND I10 NIOS,Hyundai,2022,"6,976 km",Petrol,Auto,"EMI ₹9,706/m*",₹5.50 lakh
22,Skoda KUSHAQ,Skoda,2022,"71,865 km",Petrol,Manual,"EMI ₹14,443/m*",₹8.44 lakh
23,Skoda KUSHAQ,Skoda,2023,"66,576 km",Petrol,Manual,"EMI ₹16,092/m*",₹9.40 lakh
24,Tata NEXON,Tata,2020,"46,430 km",Petrol,Manual,"EMI ₹10,415/m*",₹5.90 lakh
25,Maruti Celerio,Maruti,2021,"72,775 km",Petrol,Manual,"EMI ₹5,649/m*",₹3.20 lakh
26,Hyundai VENUE,Hyundai,2021,"65,283 km",Petrol,Manual,"EMI ₹12,181/m*",₹6.90 lakh
27,Hyundai AURA,Hyundai,2021,"95,560 km",CNG,Manual,"EMI ₹8,297/m*",₹4.70 lakh
28,Hyundai VENUE,Hyundai,2020,"32,411 km",Petrol,Manual,"EMI ₹10,503/m*",₹5.95 lakh
29,Hyundai NEW I20,Hyundai,2023,"54,110 km",Petrol,Manual,"EMI ₹9,974/m*",₹5.65 lakh
30,Maruti Alto K10,Maruti,2018,"87,853 km",Petrol,Manual,"EMI ₹4,325/m*",₹2.45 lakh
31,Datsun Redi Go,Datsun,2020,"24,295 km",Petrol,Manual,"EMI ₹3,742/m*",₹2.12 lakh
32,Maruti BREZZA,Maruti,2022,"28,115 km",Petrol,Manual,"EMI ₹14,959/m*",₹8.74 lakh
33,Honda WR-V,Honda,2018,"34,229 km",Petrol,Manual,"EMI ₹8,297/m*",₹4.70 lakh
34,Tata Tiago,Tata,2023,"45,481 km",Petrol,Manual,"EMI ₹7,149/m*",₹4.05 lakh
35,Maruti FRONX,Maruti,2024,"7,554 km",Petrol,Auto,"EMI ₹12,798/m*",₹7.25 lakh
36,Hyundai Eon,Hyundai,2013,"40,001 km",Petrol,Manual,"EMI ₹6,967/m*",₹1.48 lakh
37,Maruti S PRESSO,Maruti,2019,"33,802 km",Petrol,Auto,"EMI ₹5,737/m*",₹3.25 lakh
38,Tata Tiago,Tata,2023,"14,332 km",Petrol,Auto,"EMI ₹8,209/m*",₹4.65 lakh
39,Maruti New Wagon-R,Maruti,2022,"27,107 km",Petrol,Manual,"EMI ₹8,650/m*",₹4.90 lakh
40,Honda Jazz,Honda,2017,"28,120 km",Petrol,Auto,"EMI ₹6,629/m*",₹3.39 lakh
41,Datsun Go Plus,Datsun,2021,"31,233 km",Petrol,Manual,"EMI ₹6,451/m*",₹3.65 lakh
42,Toyota Innova Crysta,Toyota,2022,"86,718 km",Diesel,Auto,"EMI ₹28,338/m*",₹16.55 lakh
43,Renault TRIBER,Renault,2019,"62,100 km",Petrol,Manual,"EMI ₹7,861/m*",₹4.45 lakh
44,Honda WR-V,Honda,2020,"86,665 km",Diesel,Manual,"EMI ₹8,964/m*",₹5.08 lakh
