,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
0,Hyundai Eon,Hyundai,2017,"11,320 km",Petrol,Manual,"EMI ₹4,568/m*",₹2.34 lakh
1,Hyundai Eon,Hyundai,2017,"47,628 km",Petrol,Manual,"EMI ₹4,771/m*",₹2.44 lakh
2,Honda Amaze,Honda,2013,"59,022 km",Diesel,Manual,"EMI ₹21,435/m*",₹2.41 lakh
3,Maruti Baleno,Maruti,2017,"55,054 km",Petrol,Manual,"EMI ₹7,419/m*",₹3.79 lakh
4,Hyundai i10,Hyundai,2012,"70,879 km",Petrol,Manual,"EMI ₹11,819/m*",₹1.33 lakh
5,Maruti New Wagon-R,Maruti,2021,"38,943 km",Petrol,Manual,"EMI ₹7,238/m*",₹4.10 lakh
6,Volkswagen TAIGUN,Volkswagen,2021,"56,630 km",Petrol,Manual,"EMI ₹15,239/m*",₹8.90 lakh
7,Hyundai Verna,Hyundai,2019,"73,350 km",Petrol,Manual,"EMI ₹9,797/m*",₹5.55 lakh
8,Maruti Ertiga,Maruti,2020,"39,265 km",Petrol,Manual,"EMI ₹12,337/m*",₹6.99 lakh
9,KIA SONET,KIA,2022,"36,812 km",Diesel,Manual,"EMI ₹13,944/m*",₹8.14 lakh
10,Maruti Alto 800,Maruti,2017,"97,714 km",Petrol,Manual,"EMI ₹4,106/m*",₹2.10 lakh
11,Hyundai Eon,Hyundai,2016,"71,700 km",CNG,Manual,"EMI ₹5,494/m*",₹1.65 lakh
12,Hyundai Creta,Hyundai,2017,"76,961 km",Petrol,Manual,"EMI ₹11,234/m*",₹5.75 lakh
13,Hyundai Grand i10,Hyundai,2018,"96,033 km",Petrol,Manual,"EMI ₹6,381/m*",₹3.61 lakh
14,Jeep Compass,Jeep,2017,"91,443 km",Diesel,Manual,"EMI ₹13,569/m*",₹6.10 lakh
15,Honda City,Honda,2021,"78,333 km",CNG,Manual,"EMI ₹11,474/m*",₹6.50 lakh
16,Hyundai Grand i10,Hyundai,2016,"52,121 km",Petrol,Auto,"EMI ₹7,118/m*",₹3.20 lakh
17,Renault Kwid,Renault,2018,"65,589 km",Petrol,Manual,"EMI ₹3,354/m*",₹1.90 lakh
18,Hyundai Elite i20,Hyundai,2019,"1,17,259 km",CNG,Manual,"EMI ₹11,345/m*",₹5.10 lakh
19,Maruti Alto 800,Maruti,2017,"22,466 km",Petrol,Manual,"EMI ₹3,513/m*",₹1.80 lakh
20,Maruti Alto,Maruti,2022,"8,104 km",Petrol,Manual,"EMI ₹5,354/m*",₹3.03 lakh
21,Maruti Wagon R 1.0,Maruti,2018,"48,480 km",Petrol,Manual,"EMI ₹4,643/m*",₹2.63 lakh
22,Tata NEXON,Tata,2021,"50,137 km",Petrol,Auto,"EMI ₹13,240/m*",₹7.50 lakh
23,Hyundai Grand i10,Hyundai,2018,"44,398 km",CNG,Manual,"EMI ₹9,343/m*",₹4.20 lakh
24,Skoda Octavia,Skoda,2019,"55,287 km",Petrol,Auto,"EMI ₹15,796/m*",₹9.23 lakh
25,Renault Kwid,Renault,2018,"43,025 km",Petrol,Manual,"EMI ₹3,054/m*",₹1.73 lakh
26,Skoda KUSHAQ,Skoda,2021,"59,379 km",Petrol,Manual,"EMI ₹10,327/m*",₹5.85 lakh
27,Hyundai Verna,Hyundai,2016,"69,543 km",Petrol,Auto,"EMI ₹8,564/m*",₹3.85 lakh
28,Hyundai Verna,Hyundai,2025,"10,992 km",Petrol,Auto,"EMI ₹20,805/m*",₹12.15 lakh
29,Maruti Alto 800,Maruti,2019,"95,614 km",CNG,Manual,"EMI ₹4,459/m*",₹2.28 lakh
30,Tata NEXON,Tata,2021,"87,448 km",Petrol,Auto,"EMI ₹11,544/m*",₹6.54 lakh
31,Hyundai Eon,Hyundai,2017,"1,32,347 km",Petrol,Manual,"EMI ₹3,670/m*",₹1.65 lakh
32,Hyundai AURA,Hyundai,2021,"13,221 km",Petrol,Manual,"EMI ₹9,268/m*",₹5.25 lakh
33,Maruti Alto 800,Maruti,2017,"45,083 km",Petrol,Manual,"EMI ₹3,480/m*",₹1.78 lakh
34,Nissan Terrano,Nissan,2014,"79,931 km",Diesel,Manual,"EMI ₹13,101/m*",₹2.78 lakh
35,Maruti Swift,Maruti,2021,"34,844 km",Petrol,Manual,"EMI ₹9,621/m*",₹5.45 lakh
36,Maruti Baleno,Maruti,2020,"60,541 km",CNG,Manual,"EMI ₹9,345/m*",₹5.29 lakh
37,Hyundai i10,Hyundai,2013,"83,202 km",Petrol,Manual,"EMI ₹8,238/m*",₹1.75 lakh
38,Mahindra XUV500,Mahindra,2020,"30,379 km",Diesel,Manual,"EMI ₹13,681/m*",₹7.75 lakh
39,Honda Amaze,Honda,2014,"66,772 km",Petrol,Manual,"EMI ₹8,802/m*",₹2.65 lakh
40,Tata ALTROZ,Tata,2025,"9,104 km",Petrol,Manual,"EMI ₹12,445/m*",₹7.05 lakh
41,Mahindra Thar,Mahindra,2021,"63,814 km",Diesel,Auto,"EMI ₹16,951/m*",₹9.90 lakh
42,Maruti Swift Dzire,Maruti,2015,"90,585 km",Petrol,Manual,"EMI ₹8,222/m*",₹3.12 lakh
43,Hyundai Elite i20,Hyundai,2014,"1,07,792 km",Petrol,Manual,"EMI ₹11,131/m*",₹3.35 lakh
44,Maruti Alto 800,Maruti,2014,"83,005 km",Petrol,Manual,"EMI ₹4,251/m*",₹1.28 lakh
45,Tata TIGOR,Tata,2022,"48,761 km",Petrol,Auto,"EMI ₹9,007/m*",₹5.10 lakh
46,Maruti BREZZA,Maruti,2023,"29,442 km",Petrol,Manual,"EMI ₹14,123/m*",₹8.25 lakh
47,Mahindra XUV500,Mahindra,2017,"94,939 km",Diesel,Manual,"EMI ₹10,846/m*",₹4.88 lakh
