,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
0,Tata TIGOR,Tata,2019,"82,746 km",CNG,Manual,"EMI ₹6,657/m*",₹3.41 lakh
1,Maruti Baleno,Maruti,2018,"88,861 km",Petrol,Manual,"EMI ₹7,308/m*",₹4.14 lakh
2,Mahindra XUV700,Mahindra,2022,"69,318 km",Petrol,Manual,"EMI ₹19,208/m*",₹11.22 lakh
3,Honda City,Honda,2015,"77,600 km",Diesel,Manual,"EMI ₹14,531/m*",₹4.37 lakh
4,Maruti Wagon R 1.0,Maruti,2013,"70,066 km",Petrol,Manual,"EMI ₹10,436/m*",₹2.22 lakh
5,Ford Ecosport,Ford,2019,"64,389 km",Petrol,Auto,"EMI ₹8,605/m*",₹4.87 lakh
6,Maruti Swift Dzire,Maruti,2016,"72,132 km",Petrol,Manual,"EMI ₹7,074/m*",₹3.18 lakh
7,Nissan Sunny,Nissan,2016,"1,28,818 km",Petrol,Manual,"EMI ₹5,888/m*",₹2.65 lakh
8,Hyundai Grand i10,Hyundai,2016,"96,930 km",Petrol,Manual,"EMI ₹7,602/m*",₹3.42 lakh
9,Honda Brio,Honda,2014,"79,294 km",Petrol,Manual,"EMI ₹7,812/m*",₹2.35 lakh
10,Jeep Compass,Jeep,2021,"62,540 km",Petrol,Auto,"EMI ₹16,686/m*",₹9.74 lakh
11,Tata TIGOR,Tata,2019,"1,24,814 km",CNG,Manual,"EMI ₹8,119/m*",₹3.65 lakh
12,Hyundai Eon,Hyundai,2016,"55,303 km",Petrol,Manual,"EMI ₹3,670/m*",₹1.65 lakh
13,Maruti Alto,Maruti,2019,"79,039 km",Petrol,Manual,"EMI ₹3,795/m*",₹2.15 lakh
14,Maruti Baleno,Maruti,2019,"70,211 km",Petrol,Manual,"EMI ₹8,473/m*",₹4.80 lakh
15,Maruti S Cross,Maruti,2018,"60,172 km",Diesel,Manual,"EMI ₹12,414/m*",₹6.35 lakh
16,Renault Kwid,Renault,2021,"28,245 km",Petrol,Manual,"EMI ₹5,099/m*",₹2.89 lakh
17,Skoda Octavia,Skoda,2016,"1,42,130 km",Petrol,Manual,"EMI ₹6,569/m*",₹2.95 lakh
